Date	Time	Fix	Lat1(N)	Long1(E)	Lat2(N)	Long2(E)	MsgCount	Frequency	Average TI	Satellite	Max Str	Swapped
2016-03-20	02:51:06	A	 40.683	  -4.060	 37.717	  10.288	  3	672233.8	 61.0	P	-125	
2016-03-20	04:30:58	3	 40.685	  -4.070	 47.339	 -37.289	  9	672226.3	 59.6	P	-126	
2016-03-20	05:59:25	B	 40.662	  -4.146	 36.977	  13.473	  2	672269.1	180.0	N	-127	
2016-03-20	06:16:24	1	 40.685	  -4.107	 39.339	   2.621	  4	672260.9	 60.4	K	-125	
2016-03-20	09:04:00	A	 40.579	  -4.022	 33.459	  32.082	  3	672229.9	 59.6	A	-130	
2016-03-20	09:55:49	0	 40.650	  -3.885	 38.468	   7.326	  4	672269.9	 59.6	B	-128	
2016-03-20	10:39:55	0	 40.733	  -4.062	 42.940	 -15.231	  6	672268.3	 59.7	A	-119	
2016-03-22	06:17:36	2	 40.679	  -4.065	 38.098	 -16.982	  7	672260.0	 59.3	R	-121	
2016-03-22	10:00:23	0	 40.659	  -4.053	 39.050	   4.164	  5	672241.6	 55.0	A	-117	1
2016-03-22	13:51:39	0	 40.674	  -4.120	 42.885	   6.860	  8	672268.5	 60.0	P	-121	
2016-03-22	16:46:04	3	 40.681	  -4.068	 44.537	  15.891	  5	672269.6	 59.9	K	-125	
2016-03-22	17:01:27	0	 40.680	  -3.997	 43.527	   9.779	  4	672277.9	 59.3	N	-124	
2016-03-24	13:31:35	0	 40.685	  -4.046	 45.040	  17.428	  4	672217.5	107.4	P	-126	
2016-03-24	15:08:00	0	 40.682	  -4.142	 35.513	 -29.688	  5	672217.6	 59.3	P	-131	
2016-03-24	16:38:39	B	 40.917	  -4.190	 45.849	  20.655	  2	672258.0	479.0	N	-130	
2016-03-24	17:36:49	Z	 40.681	  -4.011	 39.903	  -7.954	  6	672261.8	 60.1	K	-121	
2016-03-24	18:18:22	0	 40.676	  -4.060	 35.919	 -26.573	  7	672257.5	 60.1	N	-125	
2016-03-24	19:04:57	A	 40.680	  -4.072	 42.161	 -11.719	  3	672241.2	 60.3	R	-121	
2016-03-24	20:38:02	1	 40.675	  -4.079	 43.977	  12.987	  5	672220.6	 59.8	A	-118	
2016-03-24	20:45:00	B	 40.783	  -4.096	 50.974	 -59.492	  2	672220.6	 58.0	R	-136	
2016-03-24	21:29:43	B	 40.678	  -4.068	 39.205	 -11.534	  2	672220.6	 58.0	B	-127	
2016-03-24	22:17:25	1	 40.689	  -4.074	 34.717	 -34.471	  4	672215.5	 59.0	A	-118	
2016-03-26	05:04:58	A	 40.666	  -4.042	 50.194	 -52.909	  3	672216.5	 59.5	P	-132	
2016-03-26	05:29:15	2	 40.680	  -4.070	 34.693	  26.007	  4	672221.7	 59.6	K	-125	
2016-03-26	18:04:08	B	 40.674	  -4.095	 36.343	  17.987	  2	672275.5	182.0	R	-127	
2016-03-26	18:27:07	0	 40.639	  -4.034	 34.873	 -31.692	  4	672275.5	 59.8	K	-130	
2016-03-26	21:35:52	1	 40.682	  -4.075	 38.531	 -14.943	  7	672217.1	 59.5	A	-116	
2016-03-28	03:02:42	3	 40.680	  -4.071	 38.680	   5.842	  6	672230.0	 59.6	P	-122	
2016-03-28	04:43:54	1	 40.680	  -4.075	 48.026	 -42.155	  5	672227.4	 59.0	P	-131	
2016-03-28	04:46:52	2	 40.680	  -4.071	 46.103	  24.994	  4	672227.2	 59.0	R	-126	
2016-03-28	06:06:58	2	 40.684	  -4.078	 37.722	  10.196	  5	672246.9	 60.0	N	-123	
2016-03-28	06:17:28	2	 40.682	  -4.109	 39.320	   2.480	  6	672248.2	 60.0	K	-127	
2016-03-28	06:25:59	1	 40.645	  -4.081	 37.013	 -22.644	  4	672272.3	 60.0	R	-133	
2016-03-28	09:34:39	1	 40.689	  -4.122	 36.714	  15.735	  4	672261.1	 60.2	A	-120	
2016-03-28	10:29:58	B	 40.677	  -3.850	 41.490	  -8.539	  2	672261.1	120.0	B	-133	
2016-03-30	07:04:45	A	 40.676	  -4.069	 33.589	 -39.907	  3	672251.5	 60.5	R	-132	
2016-03-30	08:55:13	0	 40.792	  -3.645	 33.243	  34.891	  4	672359.6	 59.3	A	-124	
2016-03-30	09:47:27	B	 40.567	  -3.659	 37.807	  10.642	  2	672251.5	 63.0	B	-132	
2016-03-30	10:32:02	0	 40.702	  -4.117	 42.273	 -12.026	  5	672210.7	 60.1	A	-117	
2016-03-30	14:01:04	A	 40.676	  -4.073	 42.030	   2.704	  3	672213.0	 55.2	P	-124	
2016-03-30	16:47:50	B	 40.657	  -4.070	 44.557	  15.793	  2	672211.8	181.0	K	-127	
2016-03-30	17:08:18	1	 40.672	  -4.093	 42.885	   6.785	  7	672227.5	 59.3	N	-122	
2016-03-30	17:40:02	0	 40.696	  -4.309	 34.064	  30.143	  4	672216.1	 59.3	R	-132	
2016-04-01	13:42:06	B	 40.804	  -4.309	 44.253	  13.288	  2	672211.8	362.0	P	-129	
2016-04-01	16:47:51	A	 40.689	  -4.048	 45.044	  17.439	  3	672255.1	 60.3	N	-127	
2016-04-01	17:37:36	0	 40.709	  -4.000	 39.909	  -8.065	  6	672259.0	 60.4	K	-124	
2016-04-01	18:14:05	0	 40.676	  -4.100	 37.312	  12.581	  6	672261.0	 59.7	R	-122	
2016-04-01	18:25:32	1	 40.715	  -4.088	 35.420	 -29.793	  4	672239.5	120.0	N	-129	
