Tx Date	Tx Time	PTT Date	PTT Time	Satellite ID	Activity	Tx Count	Temperature (°C)	Battery Voltage (V)	GPS fix time	Satellite Count	Hours Since Reset	Days since GPS fix	Season	Shunt	Mortality GT	Seasonal GT
2016-03-20	02:48:34	2016-03-20	02:48:36	P	 24	  7	26.6	3.97	39	 5	63	 1	 0	0	0	0
2016-03-20	05:33:59	2016-03-20	05:34:01	R	 27	 21	28.9	3.95	39	 5	63	 1	 0	0	0	1
2016-03-20	05:41:57	2016-03-20	07:41:59	R	 27	 22	28.9	3.95	39	 5	63	 1	 0	0	0	0
2016-03-20	05:57:55	2016-03-20	05:57:57	N	 27	 24	23.8	3.95	39	 5	63	 1	 0	0	1	0
2016-03-20	06:13:52	2016-03-20	06:13:54	K	 27	 26	16.0	3.93	39	 5	63	 1	 0	0	0	0
2016-03-20	09:06:29	2016-03-20	09:02:32	A	 17	  5	12.9	3.95	39	 5	63	 1	 0	0	0	0
2016-03-20	09:54:21	2016-03-20	09:54:24	B	 26	 11	29.6	3.95	39	 5	63	 1	 0	0	0	0
2016-03-20	10:35:27	2016-03-20	14:03:27	A	 11	  0	14.2	3.99	80	 5	63	 0	 0	0	0	0
2016-03-20	10:43:24	2016-03-20	10:43:24	A	  3	 17	-5.9	4.01	80	 5	63	 0	 0	0	0	0
2016-03-22	06:17:05	2016-03-22	06:17:08	R	 14	 20	21.1	3.99	43	 4	63	 1	 0	0	0	0
2016-03-22	09:57:26	2016-03-22	09:57:29	A	  3	  5	19.8	4.01	43	 4	63	 1	 0	1	0	0
2016-03-22	13:50:10	2016-03-22	13:50:09	P	  7	 18	20.5	4.03	53	 4	63	 0	 0	0	0	0
2016-03-22	16:45:35	2016-03-22	16:45:35	K	  9	  1	20.5	3.99	22	 5	63	 0	 0	0	0	0
2016-03-24	16:34:40	2016-03-24	16:34:38	N	  7	 30	18.5	4.01	34	 8	63	 0	 0	0	0	0
2016-03-24	16:42:39	2016-03-24	16:42:38	N	 10	 31	20.5	3.99	34	 8	63	 0	 4	0	0	1
2016-03-24	18:19:22	2016-03-24	18:19:22	N	 25	 11	17.9	3.97	28	 6	63	 0	 0	0	0	0
2016-03-24	20:39:31	2016-03-24	20:39:31	A	  3	 18	30.4	3.97	84	 4	63	 0	 0	0	0	0
2016-03-24	22:14:58	2016-03-24	22:14:58	A	 19	 30	30.4	3.95	84	 4	63	 0	 0	0	0	0
2016-03-26	05:48:45	2016-03-26	05:48:46	R	 17	  0	25.2	3.95	42	 4	63	 1	 0	0	0	0
2016-03-26	18:23:36	2016-03-26	18:23:36	K	 25	  4	19.8	3.99	46	 6	63	 0	 0	0	0	0
2016-03-26	18:31:37	2016-03-26	18:31:37	K	 27	  5	20.5	3.99	46	 6	63	 0	 0	0	0	0
2016-03-26	21:30:55	2016-07-26	21:30:54	A	 27	 17	30.4	3.97	35	 5	63	 2	 0	1	0	1
2016-03-28	02:59:14	2016-03-28	02:59:15	P	  1	 10	32.0	3.97	125	 4	63	 1	 0	0	0	0
2016-03-28	04:48:51	2016-03-28	04:48:53	R	  1	 17	32.0	3.95	125	 4	63	 1	 0	0	0	0
2016-03-28	06:16:29	2016-03-28	06:16:31	K	  1	 28	25.9	3.93	125	 4	63	 1	 0	0	0	0
2016-03-28	09:32:09	2016-03-28	09:32:11	A	 21	 10	15.4	3.93	125	 4	63	 1	 0	0	0	0
2016-03-28	10:28:59	2016-03-28	10:28:57	B	 11	 17	20.5	3.95	46	 6	63	 0	 0	0	0	0
2016-03-30	08:54:42	2016-03-30	08:54:44	A	 11	 31	21.8	4.03	45	 5	63	 1	 0	0	0	0
2016-03-30	17:11:15	2016-03-30	17:11:15	N	 27	  6	25.9	3.99	22	 6	62	 0	 0	0	0	0
2016-04-01	17:40:06	2016-04-01	17:40:06	K	  9	  8	20.5	4.01	22	 8	63	 0	 0	0	0	0
2016-04-01	18:12:37	2016-04-01	18:12:35	R	 13	 12	25.9	3.99	36	 5	63	 0	 0	0	0	0
2016-04-01	21:12:02	2016-04-01	21:12:01	A	  0	 24	32.0	3.97	31	 5	63	 0	 0	0	0	0
2016-04-03	05:10:17	2016-04-03	05:02:18	P	  1	 29	32.0	3.97	36	 5	63	 1	 0	0	0	0
2016-04-03	18:33:49	2016-04-03	18:33:49	K	 15	  7	25.9	3.99	36	 7	63	 0	 0	0	0	0
2016-04-03	22:12:21	2016-04-03	22:12:21	A	 15	 24	32.8	3.95	125	 5	63	 0	 0	0	0	0
2016-04-05	03:08:06	2016-04-05	03:08:06	P	 25	 13	32.0	3.95	71	 5	63	 1	 0	0	0	0
2016-04-07	09:29:46	2016-04-07	09:29:41	A	 12	  5	19.2	4.03	52	 6	63	 1	 2	1	0	0
2016-04-07	14:18:12	2016-04-07	14:30:12	P	 21	 25	21.1	4.01	 1	11	63	 0	 0	1	0	0
2016-04-07	17:13:00	2016-04-23	17:12:59	N	 27	  8	20.5	4.03	32	 6	63	 0	 0	0	0	0
2016-04-07	17:21:04	2016-04-07	17:21:03	N	 31	  9	20.5	4.03	32	 6	63	 0	 0	0	0	0
