Date	Time	Latitude(N)	Longitude(E)	Speed	Course	Altitude(m)
2016-03-16	16:00	 40.68033	  -4.06983	  0	272	 957
2016-03-16	18:00	 40.68033	  -4.07000	  0	309	 954
2016-03-16	20:00	 40.68000	  -4.07033	  0	338	 955
2016-03-17	10:00	 40.67017	  -4.07767	 41	243	 977
2016-03-17	12:00	 40.67117	  -4.07617	 57	 69	 956
2016-03-17	14:00	 40.66700	  -4.07567	 13	 44	 965
2016-03-17	16:00	 40.68000	  -4.07017	  0	286	 960
2016-03-17	18:00	 40.67400	  -4.07517	  0	299	 947
2016-03-17	20:00	 40.67983	  -4.07033	  0	197	 947
2016-03-18	10:00	 40.68033	  -4.07000	  0	224	 934
2016-03-18	12:00	 40.67733	  -4.07217	 21	194	 966
2016-03-18	14:00	 40.68833	  -4.07033	 19	122	1015
2016-03-18	16:00	 40.67567	  -4.07500	 37	101	1143
2016-03-18	18:00	 40.67833	  -4.06867	  0	121	1121
2016-03-18	20:00	 40.68050	  -4.07017	  0	 52	1101
2016-03-19	10:00	 40.67400	  -4.07600	  0	107	1090
2016-03-19	12:00	 40.67467	  -4.07450	 20	120	 981
2016-03-19	14:00	 40.67817	  -4.07167	 37	 51	1002
2016-03-19	16:00	 40.68400	  -4.06917	  0	115	 956
2016-03-19	18:00	 40.68533	  -4.06800	 29	198	 965
2016-03-19	20:00	 40.68400	  -4.07000	  0	338	1017
2016-03-20	10:00	 40.67633	  -4.07600	  0	149	1010
2016-03-20	12:00	 40.68233	  -4.08017	 22	 65	 997
2016-03-20	14:00	 40.67467	  -4.09100	 33	269	1049
2016-03-20	16:00	 40.67583	  -4.07283	  3	 79	 949
2016-03-20	18:00	 40.67967	  -4.07000	  0	 13	 949
2016-03-20	20:00	 40.68000	  -4.07017	  0	 22	 947
2016-03-21	10:00	 40.68433	  -4.06733	 37	208	 985
2016-03-21	12:00	 40.69700	  -4.07483	  0	 53	1040
2016-03-21	14:00	 40.67633	  -4.07417	 34	346	 971
2016-03-21	16:00	 40.67883	  -4.07033	 26	217	 950
2016-03-21	18:00	 40.68000	  -4.07000	  0	348	 958
2016-03-21	20:00	 40.67967	  -4.07033	  0	 82	 930
2016-03-22	10:00	 40.70100	  -4.07567	 25	353	1302
2016-03-22	12:00	 40.68017	  -4.07017	  0	104	 952
2016-03-22	14:00	 40.69183	  -4.06050	  0	  3	 995
2016-03-22	16:00	 40.69200	  -4.06033	  0	303	 979
2016-03-22	18:00	 40.68367	  -4.06967	 20	306	 977
2016-03-22	20:00	 40.68000	  -4.07033	  0	274	 958
2016-03-23	10:00	 40.68000	  -4.06917	  0	311	 959
2016-03-23	12:00	 40.67967	  -4.07233	  0	266	 975
2016-03-23	14:00	 40.68600	  -4.06033	 34	214	 988
2016-03-23	16:00	 40.68333	  -4.05933	 41	221	 971
2016-03-23	18:00	 40.68017	  -4.07017	  0	171	 944
2016-03-23	20:00	 40.68000	  -4.07033	  0	 41	 970
2016-03-24	10:00	 40.69800	  -4.06983	 34	 80	1218
2016-03-24	12:00	 40.67217	  -4.07417	 24	246	 962
2016-03-24	14:00	 40.68467	  -4.06083	 16	347	 984
2016-03-24	16:00	 40.67167	  -4.07250	 30	239	 969
2016-03-24	18:00	 40.68183	  -4.07950	 18	  2	 990
2016-03-24	20:00	 40.68017	  -4.07033	  0	176	 989
2016-03-25	10:00	 40.68050	  -4.07000	  0	151	 954
2016-03-25	12:00	 40.67783	  -4.07183	  0	156	 954
2016-03-25	14:00	 40.69367	  -4.06483	 26	274	1000
2016-03-25	16:00	 40.68017	  -4.06983	  0	191	 944
2016-03-25	18:00	 40.68017	  -4.07000	  0	322	 944
2016-03-25	20:00	 40.68000	  -4.07033	  0	 76	 959
2016-03-26	10:00	 40.69533	  -4.07133	 22	153	1088
2016-03-26	12:00	 40.67617	  -4.07383	 20	234	1037
2016-03-26	14:00	 40.68000	  -4.07017	  0	  7	 951
2016-03-26	16:00	 40.68467	  -4.06217	 33	352	1060
2016-03-26	18:00	 40.67917	  -4.06917	  0	301	1042
2016-03-26	20:00	 40.67983	  -4.07033	  0	196	 961
2016-03-27	10:00	 40.68017	  -4.06983	  0	202	 961
2016-03-27	12:00	 40.69033	  -4.06550	 33	 10	1203
2016-03-27	14:00	 40.68533	  -4.06500	 38	 28	1080
2016-03-27	16:00	 40.68000	  -4.06983	 16	225	 999
2016-03-27	18:00	 40.67800	  -4.06967	 41	181	 962
2016-03-27	20:00	 40.67983	  -4.07033	  0	  0	2D fix
2016-03-28	10:00	 40.68067	  -4.06250	 39	 70	 970
2016-03-28	12:00	 40.67000	  -4.07967	  0	320	 966
2016-03-28	14:00	 40.68000	  -4.07017	  0	 62	 955
2016-03-28	16:00	 40.68033	  -4.07083	 38	316	1040
2016-03-28	18:00	 40.68000	  -4.07000	  0	149	1026
2016-03-28	20:00	 40.68000	  -4.07017	  0	141	 972
2016-03-29	10:00	 40.68017	  -4.07017	  0	142	 949
2016-03-29	12:00	 40.68017	  -4.07000	  0	247	 964
2016-03-29	14:00	 40.68517	  -4.07167	 45	304	1005
2016-03-29	16:00	 40.68033	  -4.07000	  0	123	 955
2016-03-29	18:00	 40.68033	  -4.07000	  0	 74	 954
2016-03-29	20:00	 40.68000	  -4.07033	  0	278	 953
2016-03-30	10:00	 40.67750	  -4.07517	 30	 60	1012
2016-03-30	12:00	 40.67950	  -4.06967	 31	357	 963
2016-03-30	14:00	 40.68017	  -4.07017	  0	314	 950
2016-03-30	16:00	 40.67383	  -4.07500	  0	351	 972
2016-03-30	18:00	 40.68000	  -4.07000	  0	330	 969
2016-03-30	20:00	 40.67983	  -4.07033	  0	 22	 965
2016-03-31	16:00	 40.68017	  -4.06983	  0	178	 961
2016-03-31	18:00	 40.68017	  -4.06983	  0	 13	 960
