Tx Date	Tx Time	PTT Date	PTT Time	Satellite ID	Activity	Tx Count	Temperature (°C)	Battery Voltage (V)	GPS fix time	Satellite Count	Hours Since Reset	Days since GPS fix	Season	Shunt	Mortality GT	Seasonal GT
2016-03-20	14:17:36	2016-03-20	14:17:36	P	 20	 25	25.9	4.01	16	 7	63	 0	 1	1	0	0
2016-03-20	19:03:20	2016-03-20	19:03:19	N	 31	 20	21.1	3.97	33	 6	63	 0	 1	0	0	0
2016-03-20	21:59:40	2016-03-20	21:59:39	A	  3	 29	25.9	3.95	33	 6	63	 0	 1	0	0	0
2016-03-22	18:25:44	2016-03-22	18:25:43	K	 16	  5	21.1	4.01	45	 7	63	 0	 0	0	0	0
2016-03-24	05:12:39	2016-03-24	05:12:41	R	 31	 18	16.0	3.95	32	 7	63	 1	 0	0	1	0
2016-03-24	06:17:04	2016-03-24	06:17:06	K	  1	 26	20.5	3.93	32	 7	63	 1	 0	0	0	0
2016-03-24	06:57:14	2016-03-24	06:57:16	R	  4	 31	18.5	3.91	32	 7	63	 1	 0	0	0	0
2016-03-24	10:09:44	2016-03-24	10:09:43	B	 16	 10	17.9	4.03	30	 9	63	 0	 0	0	0	0
2016-03-24	10:57:51	2016-03-24	10:57:50	A	 16	 16	21.1	3.99	30	 9	63	 0	 0	0	0	0
2016-03-26	14:47:05	2016-03-26	14:47:04	P	  2	 23	18.5	4.01	40	10	63	 0	 0	0	0	0
2016-03-26	14:55:05	2016-03-26	14:55:05	P	  4	 24	23.1	3.99	40	10	63	 0	 0	0	0	0
2016-03-28	14:23:34	2016-03-28	14:23:34	P	 14	 17	16.0	3.97	25	 6	63	 0	 0	0	0	0
2016-03-28	17:31:40	2016-03-28	17:31:39	N	  8	  0	39.0	3.95	33	 8	63	 0	 0	0	0	0
2016-03-30	04:19:22	2016-03-30	04:19:23	P	 29	 13	20.5	3.97	42	 6	63	 1	 0	0	1	0
2016-03-30	05:22:45	2016-03-30	05:22:46	R	  2	 21	19.8	3.95	42	 6	63	 1	 0	0	0	0
2016-03-30	05:30:42	2016-03-30	05:30:43	K	  2	 22	19.2	3.95	42	 6	63	 1	 0	0	0	0
2016-03-30	18:54:04	2074-09-18	18:43:74	N	 13	  5	-14.6	3.85	90	13	37	 8	 5	0	1	1
2016-03-30	21:59:10	2016-03-30	21:59:10	A	 18	 10	31.2	3.97	45	 7	63	 0	 0	0	0	0
2016-04-01	09:49:46	2016-04-17	09:49:32	A	 10	 31	39.0	3.93	37	 6	63	 3	 0	0	1	1
2016-04-03	06:40:02	2016-04-03	06:40:04	R	 14	 13	25.9	3.99	33	 6	63	 1	 0	0	0	0
2016-04-03	09:12:43	2016-04-03	09:12:46	A	 22	 19	20.5	3.99	33	 6	63	 1	 0	0	0	0
2016-04-03	10:01:30	2016-04-02	42:01:14	B	 22	 25	25.9	3.97	55	 6	63	 0	 0	0	0	0
2016-04-03	10:49:33	2016-04-03	10:49:33	A	 28	 31	16.0	4.03	55	 6	63	 0	 0	0	0	0
2016-04-03	10:57:30	2016-04-03	10:57:30	A	 28	  0	15.4	4.03	55	 6	63	 0	 0	0	0	0
2016-04-03	15:00:16	2016-04-03	15:00:16	P	 25	 16	26.6	3.99	20	 8	63	 0	 0	0	0	0
2016-04-05	21:33:51	2016-04-05	21:33:50	A	 17	  8	24.5	3.95	12	 4	63	 0	 0	0	0	0
2016-04-07	02:49:16	2016-04-07	02:49:16	P	  2	  1	26.6	3.97	33	 5	63	 1	 0	0	0	0
2016-04-07	04:38:55	2016-04-07	04:38:56	R	 13	  6	28.9	3.95	49	 5	63	 1	 0	0	0	0
2016-04-07	05:26:59	2016-04-07	05:27:01	K	 27	 12	26.6	3.95	33	 5	63	 1	 0	0	0	0
2016-04-07	18:26:28	2016-04-07	18:26:27	R	 11	 19	32.0	4.01	36	 4	63	 0	 0	0	0	0
2016-04-07	18:58:22	2016-04-07	18:58:21	N	 11	 23	28.9	3.99	36	 4	63	 0	 0	0	0	0
2016-04-07	21:39:00	2016-04-07	21:38:59	B	 11	 30	28.9	3.97	29	 4	63	 0	 0	0	0	0
2016-04-07	22:27:25	2016-04-07	22:27:24	A	 13	  4	26.6	3.97	29	 4	63	 0	 0	0	0	0
