Date	Time	Latitude(N)	Longitude(E)	Speed	Course	Altitude(m)
2016-03-17	15:00	 39.88483	  -5.99917	  0	202	 337
2016-03-17	17:00	 39.85833	  -5.99750	  0	311	 303
2016-03-17	19:00	 39.85850	  -5.99750	  0	 70	 304
2016-03-18	09:00	 39.85833	  -5.99733	  0	276	 310
2016-03-18	11:00	 39.85833	  -5.99750	  0	288	 309
2016-03-18	13:00	 39.85833	  -5.99733	  0	342	 316
2016-03-18	15:00	 39.85850	  -5.99733	  0	324	 316
2016-03-18	17:00	 39.85850	  -5.99733	  0	304	 315
2016-03-18	19:00	 39.85833	  -5.99750	  0	 54	 315
2016-03-19	09:00	 39.85833	  -5.99750	  0	151	 314
2016-03-19	11:00	 39.86117	  -5.99100	 30	285	 727
2016-03-19	13:00	 39.87933	  -6.22100	  0	260	 462
2016-03-19	15:00	 39.86133	  -5.99317	 29	145	 755
2016-03-19	17:00	 39.85833	  -5.99750	  0	246	 355
2016-03-19	19:00	 39.85833	  -5.99733	  0	337	 307
2016-03-20	09:00	 39.85833	  -5.99733	  0	 60	 302
2016-03-20	11:00	 39.85833	  -5.99750	  0	219	 321
2016-03-20	13:00	 39.85833	  -5.99733	  0	  3	 314
2016-03-20	15:00	 39.85833	  -5.99750	  0	304	 297
2016-03-20	17:00	 39.85850	  -5.99750	  0	262	 300
2016-03-20	19:00	 39.85833	  -5.99750	  0	309	 307
2016-03-21	10:00	 39.85850	  -5.99750	  0	189	 307
2016-03-21	12:00	 39.84067	  -5.99167	 45	 36	 298
2016-03-21	14:00	 39.85917	  -5.99950	  0	157	 321
2016-03-21	16:00	 39.85833	  -5.99733	  0	353	 299
2016-03-21	18:00	 39.85850	  -5.99750	  0	178	 300
2016-03-21	20:00	 39.85833	  -5.99750	  0	295	 300
2016-03-22	10:00	 39.86350	  -6.00833	  0	 28	 329
2016-03-22	12:00	 39.96467	  -5.89517	  0	 22	 257
2016-03-22	14:00	 39.85833	  -5.99733	  0	338	 312
2016-03-22	16:00	 39.85833	  -5.99733	  0	282	 312
2016-03-22	18:00	 39.85833	  -5.99733	  0	276	 309
2016-03-22	20:00	 39.85833	  -5.99750	  0	135	 308
2016-03-23	10:00	 39.86167	  -5.99950	 33	160	 333
2016-03-23	12:00	 39.96467	  -5.89517	  0	353	 262
2016-03-23	14:00	 39.85833	  -5.99733	  0	 18	 310
2016-03-23	16:00	 39.85833	  -5.99750	  0	328	 308
2016-03-23	18:00	 39.85850	  -5.99750	  0	213	 313
2016-03-23	20:00	 39.85850	  -5.99733	  0	269	 314
2016-03-24	10:00	 39.92200	  -5.95050	 33	 51	 410
2016-03-24	12:00	 39.85833	  -5.99733	  0	345	 313
2016-03-24	14:00	 39.86033	  -5.99733	 34	206	 318
2016-03-24	16:00	 39.85867	  -6.00300	  0	242	 321
2016-03-24	18:00	 39.85950	  -5.99650	  0	220	 289
2016-03-24	20:00	 39.85917	  -5.99583	  0	189	 286
2016-03-25	10:00	 39.85483	  -6.01067	  0	193	 416
2016-03-25	12:00	 39.96467	  -5.89517	  9	328	 252
2016-03-25	14:00	 39.85833	  -5.99750	  0	214	 308
2016-03-25	16:00	 39.85833	  -5.99750	  0	323	 312
2016-03-25	18:00	 39.85833	  -5.99733	  0	  9	 313
2016-03-25	20:00	 39.85833	  -5.99733	  0	332	 311
2016-03-26	10:00	 39.86650	  -5.99967	  0	167	 323
2016-03-26	12:00	 39.85833	  -5.99717	  0	 14	 321
2016-03-26	14:00	 39.83867	  -5.99000	 37	225	 735
2016-03-26	16:00	 39.88717	  -5.96950	  0	225	 310
2016-03-26	18:00	 39.88600	  -5.97083	  0	322	 306
2016-03-26	20:00	 39.88617	  -5.97067	  0	275	 280
2016-03-27	10:00	 39.94217	  -5.94783	 21	257	 477
2016-03-27	12:00	 39.94250	  -5.98000	 24	276	 778
2016-03-27	14:00	 39.90833	  -5.70767	 29	232	 706
2016-03-27	16:00	 39.85833	  -5.99750	  0	224	 313
2016-03-27	18:00	 39.86117	  -6.04850	  0	219	 404
2016-03-27	20:00	 39.86117	  -6.04833	  0	134	 402
2016-03-28	10:00	 39.86117	  -6.04833	  0	198	 394
2016-03-28	12:00	 39.86117	  -6.04833	  0	321	 404
2016-03-28	14:00	 39.85983	  -6.06017	 32	219	 429
2016-03-28	16:00	 39.85833	  -5.99733	  0	185	 308
2016-03-28	18:00	 39.85850	  -5.99750	  0	 91	 309
2016-03-28	20:00	 39.85917	  -5.99583	  0	  0	2D fix
2016-03-29	10:00	 39.92817	  -5.94333	 56	223	 621
2016-03-29	12:00	 39.87283	  -6.25067	 44	 71	 726
2016-03-29	14:00	 39.89383	  -6.14267	 45	 42	 656
2016-03-29	16:00	 39.85833	  -5.99733	  0	197	 312
2016-03-29	18:00	 39.85833	  -5.99733	  0	241	 302
2016-03-29	20:00	 39.85833	  -5.99750	  0	241	 316
2016-03-30	10:00	 39.85833	  -5.99733	  0	199	 298
2016-03-30	12:00	 39.95950	  -5.91500	 58	 52	 671
2016-03-30	14:00	 39.88467	  -5.99900	  0	  5	 329
2016-03-30	16:00	 39.88467	  -5.99917	  0	112	 332
2016-03-30	18:00	 39.85850	  -5.99750	  0	319	 302
2016-03-30	20:00	 39.85833	  -5.99750	  0	126	 303
2016-03-31	10:00	 39.94283	  -6.04817	  0	136	 362
2016-03-31	12:00	 39.89717	  -6.11517	 65	233	 784
2016-03-31	14:00	 39.87183	  -6.25200	  0	267	 422
2016-03-31	16:00	 39.85817	  -5.99750	  0	195	 299
2016-03-31	18:00	 39.85833	  -5.99733	  0	338	 306
2016-03-31	20:00	 39.85833	  -5.99750	  0	280	 306
2016-04-01	10:00	 39.85833	  -5.99733	  0	195	 316
2016-04-01	12:00	 39.85833	  -5.99750	  0	256	 313
2016-04-01	14:00	 39.96450	  -5.83400	 34	115	 342
2016-04-01	16:00	 39.93950	  -5.94700	 45	163	 371
2016-04-01	18:00	 39.90083	  -5.94467	  0	248	 352
2016-04-01	20:00	 39.90017	  -5.93800	  0	326	 256
2016-04-02	10:00	 39.85833	  -5.99733	  0	288	 321
2016-04-02	12:00	 39.85833	  -5.99733	  0	124	 314
2016-04-02	14:00	 39.85833	  -5.99733	  0	 28	 307
2016-04-02	16:00	 39.85833	  -5.99733	  0	186	 307
2016-04-02	18:00	 39.85833	  -5.99750	  0	310	 296
2016-04-02	20:00	 39.85833	  -5.99750	  0	287	 306
2016-04-03	10:00	 39.85817	  -5.99750	  0	168	 307
2016-04-03	12:00	 39.93950	  -5.96117	 36	317	1057
2016-04-03	14:00	 39.91117	  -6.04767	  0	140	 408
2016-04-03	16:00	 39.87417	  -6.00100	 32	339	 495
2016-04-03	18:00	 39.85817	  -5.99733	  0	321	 397
2016-04-03	20:00	 39.85833	  -5.99733	  0	179	 313
2016-04-04	10:00	 39.85833	  -5.99750	  0	246	 309
2016-04-04	12:00	 39.85833	  -5.99733	  0	358	 336
2016-04-04	14:00	 39.85833	  -5.99733	  0	279	 312
2016-04-04	16:00	 39.85833	  -5.99733	  0	205	 311
2016-04-04	18:00	 39.85833	  -5.99750	  0	326	 310
2016-04-04	20:00	 39.85833	  -5.99750	  0	349	 310
2016-04-05	10:00	 39.88600	  -6.17150	  0	105	 443
2016-04-05	12:00	 39.98450	  -6.04850	 31	302	 790
2016-04-05	14:00	 39.95417	  -5.60800	  0	137	 266
2016-04-05	16:00	 39.85833	  -5.90967	 51	268	 988
