Date	Time	Fix	Lat1(N)	Long1(E)	Lat2(N)	Long2(E)	MsgCount	Frequency	Average TI	Satellite	Max Str	Swapped
2016-03-24	05:12:58	A	 25.098	 -12.315	 33.892	  29.032	  3	663039.7	 60.0	R	-126	
2016-03-24	06:20:30	1	 25.105	 -12.346	 22.114	   1.083	  6	663037.8	 54.0	K	-122	
2016-03-24	06:51:51	1	 25.109	 -12.337	 23.702	 -18.843	  6	663054.4	 53.8	R	-125	
2016-03-24	06:57:21	0	 25.097	 -12.246	 25.445	 -13.774	  6	663058.4	 55.0	N	-124	
2016-03-24	09:22:05	2	 25.108	 -12.330	 17.424	  22.958	  7	663025.3	 60.5	A	-124	
2016-03-24	10:16:20	2	 25.102	 -12.349	 22.884	  -1.928	  5	663024.3	 59.8	B	-129	
2016-03-30	05:24:20	1	 25.193	 -12.281	 32.810	  23.379	  4	662992.1	 59.6	R	-129	
2016-03-30	14:00:32	2	 25.182	 -12.314	 31.983	  18.850	  6	662872.0	 60.5	P	-129	
2016-04-01	13:37:10	0	 25.228	 -12.322	 34.303	  29.670	  9	663012.4	 55.0	P	-126	
2016-04-03	05:30:25	B	 25.160	 -12.286	 16.779	  25.476	  2	663035.2	 61.0	K	-128	
2016-04-03	06:40:59	3	 25.168	 -12.309	 23.695	  -5.790	  8	663035.2	 55.8	N	-126	
2016-04-03	07:11:46	A	 25.207	 -12.336	 27.625	 -22.673	  6	663022.3	 60.5	K	-127	
2016-04-05	06:18:20	1	 25.196	 -12.292	 21.178	   5.370	  4	663023.2	 60.5	N	-130	
2016-04-05	06:23:52	3	 25.197	 -12.293	 22.327	   0.961	  5	663021.9	 61.0	K	-124	
2016-04-05	08:32:57	B	 25.256	 -12.279	 12.937	  46.369	  2	663021.9	 62.0	A	-129	
