Date	Time	Fix	Lat1(N)	Long1(E)	Lat2(N)	Long2(E)	MsgCount	Frequency	Average TI	Satellite	Max Str	Swapped
2016-03-19	03:09:53	2	 14.023	  -8.772	 14.023	  -8.772	  7	669814.9	 59.4	P	-127	
2016-03-19	04:45:08	1	 14.030	  -8.779	 14.030	  -8.779	  6	669843.8	 60.0	P	-130	
2016-03-19	19:08:41	3	 14.070	  -8.768	 14.070	  -8.768	  4	669849.0	 60.6	N	-133	
2016-03-19	19:31:43	2	 14.069	  -8.768	 14.069	  -8.768	  5	669854.9	 60.6	K	-132	
2016-03-19	21:33:32	B	 14.072	  -8.765	 14.072	  -8.765	  1	669856.7		B	-135	
2016-03-19	22:13:51	1	 14.081	  -8.788	 14.081	  -8.788	 12	669843.5	 60.2	A	-120	
2016-03-19	23:03:26	B	 14.061	  -8.825	 14.061	  -8.825	  1	669812.8		B	-133	
2016-03-21	02:41:13	2	 13.924	  -8.745	 13.924	  -8.745	  9	669852.6	 60.5	P	-127	
2016-03-21	04:26:41	A	 13.989	  -8.732	 13.989	  -8.732	  3	669881.4	 60.4	P	-131	
2016-03-21	05:49:24	3	 13.928	  -8.761	 13.928	  -8.761	  7	669818.4	 59.6	N	-127	
2016-03-21	05:58:38	0	 13.943	  -8.827	 13.943	  -8.827	  7	669833.4	 59.7	K	-126	
2016-03-21	07:38:16	B	 13.890	  -8.776	 13.890	  -8.776	  2	669855.1	 60.0	N	-137	
2016-03-21	07:39:16	0	 13.914	  -8.792	 13.914	  -8.792	  4	669839.9	 60.0	K	-135	
2016-03-21	09:36:31	B	 13.955	  -8.870	 13.955	  -8.870	  2	669758.6	 60.0	B	-132	
2016-03-21	10:22:59	2	 13.922	  -8.745	 13.922	  -8.745	  8	669679.0	 60.3	A	-119	
2016-03-23	06:48:03	0	 14.036	  -8.676	 14.036	  -8.676	  6	669870.6	 60.3	K	-123	
2016-03-23	07:04:46	1	 14.058	  -8.694	 14.058	  -8.694	  6	669886.6	 60.2	N	-133	
2016-03-23	07:14:02	1	 14.083	  -8.677	 14.083	  -8.677	  7	669890.2	 59.9	R	-130	
2016-03-23	09:40:22	0	 14.021	  -8.760	 14.021	  -8.760	 10	669830.1	 59.5	A	-121	
2016-03-23	10:33:00	0	 13.936	  -8.831	 13.936	  -8.831	  4	669743.1	 60.1	B	-132	
2016-03-23	15:15:28	0	 13.868	  -8.785	 13.868	  -8.785	  8	669770.0	 60.1	P	-125	
2016-03-23	17:54:48	1	 13.924	  -8.759	 13.924	  -8.759	  5	669788.0	 59.3	K	-125	
2016-03-25	14:52:49	0	 13.945	  -8.974	 13.945	  -8.974	  6	669886.6	 59.7	P	-125	
2016-03-25	16:18:28	B	 13.901	  -8.975	 13.901	  -8.975	  1	669843.7		N	-137	
2016-03-25	16:59:50	B	 13.919	  -8.976	 13.919	  -8.976	  1	669821.4		R	-138	
2016-03-25	17:03:29	0	 13.990	  -8.747	 13.990	  -8.747	  4	669844.0	 59.0	K	-127	
2016-03-25	17:56:20	0	 13.999	  -8.769	 13.999	  -8.769	  5	669835.2	 60.3	N	-125	
2016-03-25	18:41:52	1	 14.028	  -8.772	 14.028	  -8.772	  6	669864.9	 60.2	R	-122	
2016-03-25	18:49:26	2	 14.009	  -8.728	 14.009	  -8.728	  5	669867.1	 60.5	K	-129	
2016-03-25	19:38:33	B	 14.009	  -8.744	 14.009	  -8.744	  2	669814.6	 61.0	N	-133	
2016-03-25	21:04:36	B	 14.006	  -8.736	 14.006	  -8.736	  2	669815.9	183.0	B	-129	
2016-03-25	21:49:36	1	 14.019	  -8.719	 14.019	  -8.719	  5	669820.4	 58.9	A	-118	
2016-03-25	22:41:22	B	 14.025	  -8.706	 14.025	  -8.706	  1	669819.7		B	-134	
2016-03-27	01:41:20	B	 14.014	  -8.707	 14.014	  -8.707	  2	669820.2	 60.0	P	-136	
2016-03-27	03:15:02	1	 14.013	  -8.727	 14.013	  -8.727	  8	669795.0	 59.6	P	-125	
2016-03-27	04:45:39	B	 13.993	  -8.745	 13.993	  -8.745	  1	669822.8		N	-137	
2016-03-27	04:56:08	B	 14.005	  -8.746	 14.005	  -8.746	  2	669820.1	 60.0	P	-137	
2016-03-27	19:15:01	2	 14.012	  -8.749	 14.012	  -8.749	  7	669824.2	 60.7	R	-125	
2016-03-27	19:16:00	2	 14.012	  -8.753	 14.012	  -8.753	  5	669826.3	 61.0	N	-130	
2016-03-27	19:39:13	A	 14.036	  -8.730	 14.036	  -8.730	  3	669832.1	 60.0	K	-135	
2016-03-27	21:07:11	2	 14.021	  -8.761	 14.021	  -8.761	  7	669821.0	 60.2	A	-119	
2016-03-27	22:00:08	B	 14.011	  -8.767	 14.011	  -8.767	  2	669801.5	118.0	B	-121	
2016-03-27	22:49:32	2	 14.018	  -8.724	 14.018	  -8.724	  5	669802.9	 59.4	A	-124	
2016-03-29	02:50:58	2	 14.014	  -8.717	 14.014	  -8.717	  9	669817.3	 60.8	P	-124	
2016-03-29	04:41:13	B	 14.011	  -8.704	 14.011	  -8.704	  1	669812.8		P	-138	
2016-03-29	05:45:16	3	 14.014	  -8.719	 14.014	  -8.719	  9	669808.8	 59.5	R	-127	
2016-03-29	05:59:08	2	 14.011	  -8.747	 14.011	  -8.747	  8	669814.2	 59.9	N	-127	
2016-03-29	06:03:18	3	 14.025	  -8.743	 14.025	  -8.743	  5	669819.1	 59.8	K	-124	
2016-03-29	07:29:44	1	 14.025	  -8.740	 14.025	  -8.740	  4	669836.7	 60.3	R	-128	
2016-03-29	07:38:50	B	 14.028	  -8.739	 14.028	  -8.739	  2	669828.0	 60.0	K	-133	
2016-03-29	09:21:33	1	 14.020	  -8.695	 14.020	  -8.695	  4	669706.3	 58.7	A	-121	
2016-03-29	10:09:13	0	 13.907	  -8.711	 13.907	  -8.711	  6	669745.3	 59.8	B	-128	
2016-03-29	10:59:17	A	 13.942	  -8.798	 13.942	  -8.798	  3	669662.6	 62.6	A	-125	
2016-03-31	06:22:22	0	 14.105	  -8.561	 14.105	  -8.561	 10	669838.3	 60.2	R	-122	
2016-03-31	06:50:56	2	 14.057	  -8.724	 14.057	  -8.724	  4	669862.7	 60.0	K	-125	
2016-03-31	07:20:47	3	 14.042	  -8.726	 14.042	  -8.726	  5	669839.6	 60.2	N	-127	
2016-03-31	10:15:49	0	 13.936	  -8.939	 13.936	  -8.939	  9	669746.0	 59.8	A	-119	
2016-03-31	13:42:35	B	 14.164	  -9.197	 14.164	  -9.197	  2	669670.3	 59.0	P	-127	
2016-03-31	15:23:45	A	 13.965	  -8.746	 13.965	  -8.746	  3	669658.7	 59.7	P	-126	
2016-03-31	17:51:17	2	 13.945	  -8.761	 13.945	  -8.761	  4	669735.1	108.4	K	-124	
2016-04-01	15:11:19	1	 13.950	  -8.714	 13.950	  -8.714	  9	669696.9	 60.6	P	-126	
2016-04-01	18:15:15	1	 13.966	  -8.728	 13.966	  -8.728	  6	669780.8	 59.4	N	-127	
2016-04-01	18:16:44	2	 13.962	  -8.727	 13.962	  -8.727	  5	669778.5	 59.3	R	-130	
2016-04-01	19:08:48	3	 13.962	  -8.735	 13.962	  -8.735	  6	669789.6	 59.3	K	-128	
2016-04-01	21:06:43	B	 13.980	  -8.728	 13.980	  -8.728	  1	669806.2		A	-130	
2016-04-01	21:58:14	B	 13.979	  -8.728	 13.979	  -8.728	  1	669803.6		B	-131	
