Date	Time	Latitude(N)	Longitude(E)	Speed	Course	Altitude(m)
2016-03-16	13:00	 13.99833	  -8.64850	  0	  0	  38
2016-03-16	15:00	 13.96850	  -8.59900	 28	342	 173
2016-03-16	17:00	 14.05900	  -8.71633	  0	  0	  38
2016-03-16	19:00	 14.06200	  -8.71783	  0	  0	  39
2016-03-16	21:00	 14.06200	  -8.71783	  0	  0	  38
2016-03-17	11:00	 14.08333	  -8.66000	 12	322	  76
2016-03-17	13:00	 14.02400	  -8.52583	 21	260	  62
2016-03-17	15:00	 14.08533	  -8.81867	  0	  0	  34
2016-03-17	17:00	 14.08100	  -8.80650	  0	  0	  37
2016-03-17	19:00	 14.08117	  -8.80650	  0	  0	  37
2016-03-17	21:00	 14.08100	  -8.80650	  0	  0	  39
2016-03-18	11:00	 14.11033	  -8.85567	  0	  0	  36
2016-03-18	13:00	 14.07967	  -8.76617	 21	152	  53
2016-03-18	15:00	 13.93950	  -8.79650	 28	 29	  84
2016-03-18	17:00	 14.02150	  -8.77367	  0	  0	  40
2016-03-18	19:00	 14.02350	  -8.77533	  0	  0	  40
2016-03-18	21:00	 14.02350	  -8.77533	  0	  0	  39
2016-03-19	11:00	 13.97750	  -8.79450	 21	105	  95
2016-03-19	13:00	 13.92683	  -8.58650	 17	281	  55
2016-03-19	15:00	 14.04100	  -8.74433	 36	 38	 111
2016-03-19	17:00	 14.07200	  -8.77367	  1	194	  38
2016-03-19	19:00	 14.07267	  -8.77333	  0	  0	  39
2016-03-19	21:00	 14.07267	  -8.77333	  0	  0	  39
2016-03-20	11:00	 14.07333	  -8.77333	  0	  0	  37
2016-03-20	13:00	 13.92150	  -8.75117	  0	  0	  36
2016-03-20	15:00	 13.92483	  -8.75833	  0	  0	  37
2016-03-20	17:00	 13.92500	  -8.75817	  0	  0	  37
2016-03-20	19:00	 13.92533	  -8.75867	  0	300	  36
2016-03-20	21:00	 13.92533	  -8.75850	  0	  0	  37
2016-03-21	11:00	 13.92500	  -8.75800	  0	  0	  37
2016-03-21	13:00	 13.92500	  -8.75817	  0	  0	  37
2016-03-21	15:00	 13.90517	  -8.76317	  0	  0	  35
2016-03-21	17:00	 13.92483	  -8.75817	  0	  0	  36
2016-03-21	19:00	 13.92117	  -8.75517	  0	  0	  36
2016-03-21	21:00	 13.92117	  -8.75500	  0	  0	  38
2016-03-22	11:00	 13.95917	  -8.74350	 15	 15	  55
2016-03-22	13:00	 13.93150	  -8.82867	 10	357	  44
2016-03-22	15:00	 13.90533	  -8.76333	  0	  0	  35
2016-03-22	17:00	 14.05867	  -8.71650	  0	  0	  39
2016-03-22	19:00	 14.05850	  -8.71633	  0	  0	  42
2016-03-22	21:00	 14.05867	  -8.71650	  0	  0	  39
2016-03-23	11:00	 13.92500	  -8.75817	  0	  0	  36
2016-03-23	13:00	 13.92467	  -8.75833	  0	  0	  36
2016-03-23	15:00	 13.90317	  -8.76367	 25	  4	  66
2016-03-23	17:00	 13.92500	  -8.75800	  0	  0	  37
2016-03-23	19:00	 13.92633	  -8.75850	  0	  0	  38
2016-03-23	21:00	 13.92633	  -8.75850	  1	132	  38
2016-03-24	11:00	 13.92500	  -8.75817	  0	  0	  37
2016-03-24	13:00	 13.97567	  -8.84800	 23	212	 116
2016-03-24	15:00	 13.92500	  -8.75817	  0	  0	  37
2016-03-24	17:00	 13.92500	  -8.75817	  0	  0	  37
2016-03-24	19:00	 13.92650	  -8.75850	  0	  0	  37
2016-03-24	21:00	 13.92650	  -8.75850	  0	  0	  38
2016-03-25	11:00	 13.91483	  -8.75533	 25	228	  41
2016-03-25	13:00	 13.92500	  -8.75817	  0	  0	  43
2016-03-25	15:00	 13.99100	  -8.73350	 17	 10	  48
2016-03-25	17:00	 14.01100	  -8.72183	  0	  0	  42
2016-03-25	19:00	 14.01517	  -8.72150	  0	  0	  41
2016-03-25	21:00	 14.01517	  -8.72150	  0	  0	  42
2016-03-26	11:00	 14.00567	  -8.72117	  0	  0	  42
2016-03-26	13:00	 13.98067	  -8.72767	 22	104	  75
2016-03-26	15:00	 13.98600	  -8.68267	 35	293	 122
2016-03-26	17:00	 14.00950	  -8.72217	  0	  0	  41
2016-03-26	19:00	 14.01200	  -8.72183	  0	  0	  41
2016-03-26	21:00	 14.01200	  -8.72183	  0	  0	  41
2016-03-27	11:00	 13.90583	  -8.76217	  0	 77	  35
2016-03-27	13:00	 13.98833	  -8.75700	 24	 29	  87
2016-03-27	15:00	 13.99833	  -8.72350	 26	 23	 112
2016-03-27	17:00	 14.03817	  -8.72150	 28	153	 146
2016-03-27	19:00	 14.01283	  -8.72267	  0	  0	  58
2016-03-27	21:00	 14.01267	  -8.72267	  0	  0	  44
2016-03-28	11:00	 13.92783	  -8.76500	 17	 19	  95
2016-03-28	13:00	 13.85850	  -8.72483	 17	310	 101
2016-03-28	15:00	 13.92133	  -8.80533	  0	  0	  38
2016-03-28	17:00	 14.00967	  -8.72200	  0	  0	  39
2016-03-28	19:00	 14.01200	  -8.72183	  0	  0	  41
2016-03-28	21:00	 14.01200	  -8.72183	  0	  0	  41
2016-03-29	11:00	 13.92950	  -8.78933	  0	  0	  36
2016-03-29	13:00	 13.94200	  -8.80750	  0	  0	  35
2016-03-29	15:00	 13.92967	  -8.78917	  0	  0	  36
2016-03-29	17:00	 13.96033	  -8.74283	  0	  0	  40
2016-03-29	19:00	 13.96183	  -8.73733	  0	  0	  41
2016-03-29	21:00	 13.96033	  -8.73000	  0	  0	  42
2016-03-30	11:00	 13.92900	  -8.78883	 26	164	  88
2016-03-30	13:00	 13.96267	  -8.74667	 13	 94	  43
2016-03-30	15:00	 13.95917	  -8.74267	 25	211	  62
2016-03-30	17:00	 14.06967	  -8.72767	 21	171	 192
