Date	Time	Latitude(N)	Longitude(E)	Speed	Course	Altitude(m)
2016-03-18	10:00	 40.78067	  -4.33683	 36	205	1434
2016-03-18	12:00	 40.76167	  -4.40033	 36	 97	1514
2016-03-18	14:00	 40.82983	  -4.51133	 61	343	1440
2016-03-18	16:00	 40.96767	  -4.29483	  0	319	 891
2016-03-18	18:00	  0.00000	   0.00000	  0	3.93	no fix
2016-03-18	20:00	  0.00000	   0.00000	  0	3.91	no fix
2016-03-23	11:00	 40.96750	  -4.29550	  0	  0	2D fix
2016-03-23	15:00	 40.96750	  -4.29567	  0	 78	 895
2016-03-23	19:00	 40.96750	  -4.29567	  0	 64	 894
2016-03-24	11:00	 40.96750	  -4.29550	  0	  0	2D fix
2016-03-24	15:00	 40.96767	  -4.29567	  0	 21	 900
2016-03-24	19:00	 40.96750	  -4.29567	  0	  0	2D fix
2016-03-27	11:00	 40.96750	  -4.29550	  0	124	 897
2016-03-27	15:00	 40.96767	  -4.29567	  0	326	 902
2016-03-27	19:00	 40.96750	  -4.29550	  0	316	 903
2016-03-28	11:00	 40.96750	  -4.29550	  0	  0	2D fix
2016-03-28	15:00	 40.96767	  -4.29550	  0	 58	 903
2016-03-28	19:00	 40.96750	  -4.29550	  0	324	 900
2016-03-29	11:00	 40.96750	  -4.29550	  0	  0	2D fix
2016-03-29	15:00	 40.96767	  -4.29550	  0	 57	 904
2016-03-29	19:00	 40.96767	  -4.29550	  0	120	 896
