Date	Time	Latitude(N)	Longitude(E)	Speed	Course	Altitude(m)
2016-03-16	16:00	 40.42533	  -4.03617	 11	350	 114
2016-03-16	18:00	 40.43333	  -4.03317	  8	269	 151
2016-03-17	10:00	 40.47450	  -4.02867	 17	146	  86
2016-03-17	12:00	 40.46900	  -3.98767	  0	  0	  72
2016-03-17	14:00	 40.43583	  -4.03700	 25	238	  89
2016-03-17	16:00	 40.42483	  -4.03683	 15	220	 131
2016-03-17	18:00	 40.42600	  -4.03517	  0	  0	  81
2016-03-18	10:00	 40.47100	  -3.98733	 18	 48	  70
2016-03-18	12:00	 40.41950	  -4.03500	 32	189	 118
2016-03-18	14:00	 40.42700	  -4.04100	 30	 48	 114
2016-03-18	16:00	 40.43617	  -4.03367	 24	 60	 103
2016-03-18	18:00	 40.42800	  -4.03750	  0	  0	  80
2016-03-19	10:00	 40.42817	  -4.03633	 10	186	  71
2016-03-19	12:00	 40.43100	  -4.02983	 12	194	 114
2016-03-19	14:00	 40.41833	  -4.03717	 10	255	  88
2016-03-19	16:00	 40.43517	  -4.04500	 11	257	  84
2016-03-19	18:00	 40.42767	  -4.03700	  0	  0	  81
2016-03-20	10:00	 40.46167	  -3.99067	 34	  1	  99
2016-03-20	12:00	 40.42267	  -4.04817	 35	195	  98
2016-03-20	14:00	 40.45617	  -4.04617	 30	  1	 116
2016-03-20	16:00	 40.42167	  -4.02833	  0	  0	  82
2016-03-20	18:00	 40.42183	  -4.02717	  0	  0	  77
2016-03-21	10:00	 40.45467	  -3.99767	 16	 17	  98
2016-03-21	12:00	 40.49117	  -4.02083	 21	315	 144
2016-03-21	14:00	 40.41950	  -4.02833	 20	 13	  78
2016-03-21	16:00	 40.42100	  -4.03783	  0	  0	  75
2016-03-21	18:00	 40.43000	  -4.03817	  0	  0	  68
2016-03-22	10:00	 40.46883	  -3.98767	  0	  0	  75
2016-03-22	12:00	 40.45450	  -4.04400	 18	 68	 103
2016-03-22	14:00	 40.42667	  -4.03617	 27	346	 140
2016-03-22	16:00	 40.43917	  -4.02500	 31	190	 150
2016-03-22	18:00	 40.42667	  -4.03583	  0	  0	  80
