Date	Time	Fix	Lat1(N)	Long1(E)	Lat2(N)	Long2(E)	MsgCount	Frequency	Average TI	Satellite	Max Str	Swapped
2016-03-19	14:27:36	0	 40.438	  -4.028	 39.388	  -9.173	  7	677001.0	 60.1	P	-123	
2016-03-19	16:09:27	0	 40.383	  -4.009	 40.383	  -4.009	  5	677014.2	 60.3	P	-134	
2016-03-19	16:21:33	A	 40.426	  -4.136	 40.426	  -4.136	  3	676992.6	 61.0	K	-128	
2016-03-19	17:30:30	0	 40.422	  -4.055	 40.422	  -4.055	  7	676956.3	 60.5	N	-125	
2016-03-19	18:04:38	1	 40.440	  -4.032	 40.440	  -4.032	  7	676987.7	 59.8	K	-124	
2016-03-19	20:37:39	3	 40.426	  -4.038	 40.426	  -4.038	  6	676947.8	 60.3	A	-120	
2016-03-19	21:36:49	B	 40.424	  -4.019	 40.424	  -4.019	  1	676949.0		B	-131	
2016-03-19	22:19:37	3	 40.425	  -4.032	 40.425	  -4.032	  6	676941.8	 59.6	A	-123	
2016-03-21	02:40:16	A	 40.429	  -4.036	 40.429	  -4.036	  3	676922.3	 59.3	P	-129	
2016-03-21	04:17:43	3	 40.429	  -4.037	 40.429	  -4.037	  5	676923.6	104.5	P	-130	
2016-03-21	05:53:44	B	 40.415	  -4.036	 40.415	  -4.036	  1	676930.2		K	-133	
2016-03-21	18:53:44	2	 40.433	  -4.029	 40.433	  -4.029	  6	676979.0	 59.7	K	-129	
2016-03-21	18:55:24	2	 40.434	  -4.029	 40.434	  -4.029	  4	676978.7	 59.4	N	-128	
2016-03-21	18:58:42	A	 40.429	  -4.030	 40.429	  -4.030	  3	676982.7	 59.7	R	-127	
2016-03-21	20:38:39	1	 40.404	  -4.023	 40.404	  -4.023	  5	676992.8	 60.4	R	-130	
2016-03-21	20:53:15	B	 40.422	  -4.024	 40.422	  -4.024	  2	677002.9	179.0	B	-130	
2016-03-21	21:39:34	3	 40.429	  -4.038	 40.429	  -4.038	  4	676989.8	 59.7	A	-118	
2016-03-21	22:37:59	B	 40.414	  -4.058	 40.414	  -4.058	  1	676948.9		B	-133	
2016-03-23	02:17:18	2	 40.432	  -4.028	 40.432	  -4.028	  4	676928.9	 58.7	P	-126	
2016-03-23	05:06:24	B	 40.429	  -4.034	 40.429	  -4.034	  1	676918.7		K	-133	
2016-03-23	05:22:37	A	 40.435	  -4.033	 40.435	  -4.033	  3	676919.8	 99.3	N	-127	
2016-03-23	05:34:12	A	 40.424	  -4.008	 40.424	  -4.008	  3	676923.4	147.0	P	-136	
2016-03-23	05:39:07	1	 40.433	  -4.030	 40.433	  -4.030	  6	676924.8	 59.9	R	-124	
2016-03-23	06:39:54	0	 40.413	  -3.975	 40.413	  -3.975	  5	676974.5	 60.0	K	-125	
2016-03-23	07:01:11	0	 40.481	  -4.025	 40.481	  -4.025	  4	676976.1	 60.0	N	-124	
2016-03-23	08:40:17	0	 40.560	  -3.701	 40.560	  -3.701	  5	677055.8	 60.0	N	-131	
2016-03-23	09:35:21	0	 40.497	  -3.996	 40.497	  -3.996	  4	677002.1	121.0	A	-122	
2016-03-23	10:26:38	B	 40.487	  -4.035	 40.487	  -4.035	  1	676991.6		B	-130	
2016-03-25	06:20:53	2	 40.439	  -4.043	 40.439	  -4.043	  9	676983.3	 60.3	R	-123	
2016-03-25	06:37:21	A	 40.444	  -4.036	 40.444	  -4.036	  3	676963.4	 60.6	N	-127	
2016-03-25	09:00:42	B	 40.500	  -3.949	 40.500	  -3.949	  1	676880.7		A	-131	
2016-03-25	09:47:42	B	 40.400	  -3.953	 40.400	  -3.953	  1	676894.1		B	-133	
2016-03-25	10:38:58	0	 40.433	  -3.814	 40.433	  -3.814	  5	676943.8	 59.8	A	-121	
2016-03-25	13:16:41	A	 40.418	  -4.177	 40.418	  -4.177	  3	676966.8	 60.0	P	-130	
2016-03-25	15:01:06	1	 40.433	  -4.022	 40.433	  -4.022	  6	676921.2	 60.5	P	-126	
2016-03-25	16:23:28	A	 40.414	  -3.990	 40.414	  -3.990	  3	676975.9	121.0	N	-127	
2016-03-25	16:41:35	B	 40.410	  -4.026	 40.410	  -4.026	  2	676992.4	122.0	P	-136	
2016-03-25	16:55:38	B	 40.431	  -4.026	 40.431	  -4.026	  1	676942.8		R	-134	
2016-03-25	17:13:11	1	 40.471	  -3.963	 40.471	  -3.963	  5	676913.5	 60.3	K	-126	
2016-03-27	14:34:09	1	 40.423	  -4.067	 40.423	  -4.067	  8	676967.3	 60.1	P	-128	
