Date	Time	Latitude(N)	Longitude(E)	Speed	Course	Altitude(m)
2016-03-17	16:00	 39.71083	  -4.41633	 17	239	 132
2016-03-17	19:00	 39.69767	  -4.41317	  0	165	  94
2016-03-18	10:00	 39.71700	  -4.43817	 24	165	  96
2016-03-18	13:00	 39.72167	  -4.40833	  0	  0	  69
2016-03-18	16:00	 39.70517	  -4.42400	  0	  0	  93
2016-03-18	19:00	 39.70750	  -4.40400	  0	  0	  78
2016-03-19	10:00	 39.71650	  -4.39917	  0	  0	  72
2016-03-19	13:00	 39.67867	  -4.43950	 28	351	 122
2016-03-19	16:00	 39.70033	  -4.44150	 29	111	  86
2016-03-19	19:00	 39.70067	  -4.41517	  0	  0	  75
2016-03-20	10:00	 39.73717	  -4.50717	 18	 28	  86
2016-03-20	13:00	 39.71433	  -4.42983	 22	211	  87
2016-03-20	16:00	 39.70517	  -4.42400	  0	  0	  81
2016-03-20	19:00	 39.71800	  -4.39983	  0	  0	  66
2016-03-21	10:00	 39.71517	  -4.40967	  0	  0	  70
2016-03-21	13:00	 39.70517	  -4.42567	 23	200	  81
2016-03-21	16:00	 39.70717	  -4.42617	  0	  0	  83
2016-03-21	19:00	 39.71517	  -4.42033	  0	  0	  74
2016-03-22	10:00	 39.71533	  -4.42017	  0	  0	  72
2016-03-22	13:00	 39.69333	  -4.37100	 19	 18	 100
2016-03-22	16:00	 39.70750	  -4.40100	 22	 91	  89
2016-03-22	19:00	 39.70850	  -4.40467	  0	151	  72
2016-03-23	10:00	 39.69817	  -4.41417	 29	222	  85
2016-03-23	13:00	 39.70833	  -4.43883	  0	  0	  86
2016-03-23	16:00	 39.70017	  -4.43350	 30	 84	  99
2016-03-23	19:00	 39.70833	  -4.43867	  0	306	  83
2016-03-24	10:00	 39.66483	  -4.42050	 22	274	 106
2016-03-24	13:00	 39.68200	  -4.42100	 42	249	 106
2016-03-24	16:00	 39.69200	  -4.42983	 20	218	 149
2016-03-24	19:00	 39.57633	  -4.47233	  0	243	 162
2016-03-25	10:00	 39.72383	  -4.46600	 26	356	  90
2016-03-25	13:00	 39.70767	  -4.43017	  0	  0	  78
2016-03-25	16:00	 39.70433	  -4.42667	  0	  0	  83
2016-03-25	19:00	 39.70833	  -4.43867	  0	  0	  82
2016-03-26	10:00	 39.70617	  -4.42617	 25	128	  90
2016-03-26	13:00	 39.71583	  -4.41383	 47	 77	  77
2016-03-26	16:00	 39.71100	  -4.40233	 20	217	  87
2016-03-26	19:00	 39.70850	  -4.43867	  0	  0	  82
2016-03-27	10:00	 39.72417	  -4.44150	 28	148	 122
2016-03-27	13:00	 39.71317	  -4.42633	 34	298	 143
2016-03-27	16:00	 39.68700	  -4.43000	  7	262	  96
2016-03-27	19:00	 39.70833	  -4.43867	  2	162	  82
2016-03-28	10:00	 39.72067	  -4.40650	  2	241	  63
2016-03-28	13:00	 39.70683	  -4.40600	 26	268	 122
2016-03-28	16:00	 39.70400	  -4.43133	  0	  0	  84
2016-03-28	19:00	 39.71667	  -4.40033	  0	141	  73
2016-03-29	10:00	 39.71800	  -4.44650	 53	138	 100
2016-03-29	13:00	 39.68833	  -4.39167	 24	 15	 111
2016-03-29	16:00	 39.69950	  -4.43083	 16	 19	  84
2016-03-29	19:00	 39.70900	  -4.43783	  0	288	 105
2016-03-30	10:00	 39.70867	  -4.39300	 24	 89	 141
2016-03-30	13:00	 39.70050	  -4.41867	  7	226	 165
2016-03-30	16:00	 39.70283	  -4.43000	  0	  0	  90
2016-03-30	19:00	 39.70817	  -4.40483	  0	  0	 119
2016-03-31	10:00	 39.71383	  -4.40600	 20	116	  66
2016-03-31	13:00	 39.71250	  -4.40583	  0	  0	  78
2016-03-31	16:00	 39.70833	  -4.40350	 14	 58	  87
2016-03-31	19:00	 39.70483	  -4.44050	  8	338	 133
2016-04-01	10:00	 39.66050	  -4.52817	 10	  9	 143
2016-04-01	13:00	 39.70683	  -4.40100	 25	 92	 143
2016-04-01	16:00	 39.70833	  -4.43867	  0	157	  86
2016-04-01	19:00	 39.70067	  -4.41517	  0	  0	  89
2016-04-02	10:00	 39.71400	  -4.40867	 26	121	 153
2016-04-02	13:00	 39.72167	  -4.40250	 14	252	 164
2016-04-02	16:00	 39.70383	  -4.42583	  7	174	 159
2016-04-02	19:00	 39.70050	  -4.41533	  0	  0	  84
2016-04-03	10:00	 39.72133	  -4.40767	 22	 80	  69
2016-04-03	13:00	 39.68750	  -4.41383	  8	284	 119
2016-04-03	16:00	 39.72183	  -4.40217	 26	173	  95
2016-04-03	19:00	 39.70800	  -4.40500	  0	  0	  73
2016-04-04	10:00	 39.70783	  -4.40500	  0	  0	  68
2016-04-04	13:00	 39.72233	  -4.40750	  0	  0	  70
2016-04-04	16:00	 39.71033	  -4.42467	  0	  0	  76
2016-04-04	19:00	 39.70833	  -4.40467	  0	  0	  71
2016-04-05	10:00	 39.70933	  -4.43017	  0	  0	  79
2016-04-05	13:00	 39.67617	  -4.40617	 24	323	 100
2016-04-05	16:00	 39.70933	  -4.42683	 15	 75	  82
2016-04-05	19:00	 39.70067	  -4.41517	  0	  0	  75
