Date	Time	Latitude(N)	Longitude(E)	Speed	Course	Altitude(m)
2016-03-15	15:00	 40.36683	  -4.25067	 57	147	1249
2016-03-15	17:00	 40.35900	  -4.28350	 40	119	 642
2016-03-15	19:00	 40.34750	  -4.27500	  0	326	 678
2016-03-16	09:00	 40.37817	  -4.28967	 28	322	 842
2016-03-16	11:00	 40.43100	  -4.20983	  3	 58	 715
2016-03-16	13:00	 40.58150	  -4.44900	 34	337	1468
2016-03-16	15:00	 40.66033	  -4.53950	  0	206	1228
2016-03-16	17:00	 40.40200	  -4.54583	  0	167	1341
2016-03-16	19:00	 40.40233	  -4.54583	  0	 35	1224
2016-03-17	09:00	 40.40233	  -4.54583	  0	211	1232
2016-03-17	11:00	 40.40233	  -4.54583	  0	187	1227
2016-03-17	13:00	 40.40233	  -4.54583	  0	117	1218
2016-03-17	15:00	 40.40233	  -4.54583	  0	 34	1223
2016-03-17	17:00	 40.40233	  -4.54583	  0	227	1223
2016-03-17	19:00	 40.40233	  -4.54583	  0	345	1223
2016-03-18	09:00	 40.40217	  -4.54583	  0	197	1209
2016-03-18	11:00	 40.40233	  -4.54583	  0	225	1229
2016-03-18	13:00	 40.40100	  -4.54467	  0	  9	1299
2016-03-18	15:00	 40.58683	  -4.55950	 47	333	1704
2016-03-18	17:00	  0.00000	   0.00000	  0	3.95	no fix
2016-03-18	19:00	 40.53883	  -4.58967	  0	358	1650
2016-03-19	09:00	 40.54300	  -4.59217	  0	318	1142
2016-03-19	11:00	 40.53567	  -4.62067	 41	 30	1678
2016-03-19	13:00	 40.65783	  -4.53533	  0	328	1243
2016-03-19	15:00	 40.65600	  -4.53350	  0	226	1268
2016-03-19	17:00	 40.64500	  -4.53700	  0	 21	1269
2016-03-19	19:00	 40.63417	  -4.52950	  0	210	1387
2016-03-20	09:00	 40.63400	  -4.52967	  0	 46	1396
2016-03-20	11:00	 40.45600	  -4.56767	 52	348	1213
2016-03-20	13:00	 40.40950	  -4.55317	  0	263	1100
2016-03-20	15:00	 40.40233	  -4.54583	  0	186	1223
2016-03-20	17:00	 40.40233	  -4.54600	  0	272	1223
2016-03-20	19:00	 40.40233	  -4.54583	  0	 16	1229
2016-03-21	10:00	 40.40233	  -4.54583	  0	305	1236
2016-03-21	12:00	 40.40217	  -4.54550	  0	295	1236
2016-03-21	14:00	 40.40233	  -4.54583	  0	 29	1225
2016-03-21	16:00	 40.34500	  -4.29467	  0	171	 745
2016-03-21	18:00	 40.34950	  -4.29850	  0	355	 701
2016-03-21	20:00	 40.34950	  -4.29850	  0	357	 673
2016-03-22	10:00	 40.29767	  -4.19317	 44	 84	 632
2016-03-22	12:00	 40.26400	  -4.01167	 50	 12	 767
