Date	Time	Fix	Lat1(N)	Long1(E)	Lat2(N)	Long2(E)	MsgCount	Frequency	Average TI	Satellite	Max Str	Swapped
2016-03-19	06:08:52	2	 40.546	  -4.575	 37.824	   8.252	  5	680909.4	 59.4	N	-125	
2016-03-19	06:41:40	A	 40.533	  -4.578	 41.433	  -9.043	  3	680897.5	 59.5	K	-125	
2016-03-19	09:18:43	A	 40.552	  -4.604	 34.967	  22.360	  3	680986.9	 60.5	A	-122	
2016-03-19	10:58:15	B	 40.640	  -4.954	 44.540	 -24.014	  2	680909.4	 59.0	A	-120	
2016-03-19	14:27:12	0	 40.676	  -4.467	 39.772	  -8.896	  7	680919.0	 54.9	P	-126	
2016-03-19	16:23:47	1	 40.655	  -4.519	 46.950	  27.733	  6	680907.6	 59.7	K	-124	
2016-03-19	17:35:15	1	 40.636	  -4.561	 40.317	  -6.104	  7	680885.6	 60.0	N	-124	
2016-03-19	17:57:37	B	 40.696	  -4.529	 37.983	 -19.932	  2	680908.7	 58.0	K	-125	
2016-03-21	14:03:25	A	 40.307	  -4.808	 41.776	   2.536	  8	680852.1	 59.8	P	-122	
2016-03-21	17:10:23	B	 39.890	  -5.453	 42.254	   5.850	  2	680970.8	302.0	N	-126	
2016-03-21	17:12:24	2	 40.340	  -4.291	 42.047	   4.365	  4	680863.8	 60.4	K	-124	
2016-03-21	18:52:05	1	 40.365	  -4.284	 32.550	 -42.881	  6	680959.3	 60.4	K	-133	
2016-03-21	18:54:06	B	 40.618	  -4.255	 32.561	 -42.985	  2	680970.8	301.0	N	-135	
2016-03-21	18:59:07	2	 40.349	  -4.293	 41.264	  -8.977	  5	680970.8	 60.2	R	-126	
2016-03-21	20:56:51	B	 40.907	  -3.466	 42.982	   4.564	  2	680970.8	 58.0	B	-130	
2016-03-21	21:41:03	1	 40.344	  -4.326	 37.970	 -16.128	 10	680889.1	 59.7	A	-122	
2016-03-23	05:34:07	B	 40.426	  -4.266	 53.082	 -69.201	  2	680970.8	 58.0	P	-138	
2016-03-23	05:43:34	A	 40.392	  -4.603	 41.003	  -1.404	  3	680901.9	 59.5	R	-125	
2016-03-23	18:05:50	1	 40.343	  -4.186	 37.304	 -19.039	  6	680899.2	 59.6	K	-127	
2016-03-23	18:30:11	0	 40.325	  -4.137	 34.402	 -31.857	  9	680910.8	 59.5	N	-128	
2016-03-23	20:58:49	1	 40.338	  -4.175	 41.826	   3.393	  7	680839.2	 60.3	A	-118	
2016-03-23	21:50:02	B	 40.343	  -4.303	 37.013	 -20.996	  2	680839.2	180.0	B	-132	
2016-03-23	22:39:10	3	 40.336	  -4.173	 32.325	 -44.109	  6	680814.1	 60.1	A	-126	
2016-03-25	04:42:20	A	 40.402	  -4.539	 46.604	  28.207	  3	680911.8	 60.0	R	-131	
2016-03-25	05:12:07	1	 40.383	  -4.554	 51.279	 -58.565	  4	680921.0	 59.5	P	-137	
2016-03-25	05:52:39	3	 40.401	  -4.557	 36.555	  14.387	  5	680963.9	 60.3	K	-127	
2016-03-25	06:24:21	2	 40.404	  -4.537	 37.476	 -19.040	  6	680973.1	 60.4	R	-125	
2016-03-25	06:39:26	B	 40.418	  -4.608	 40.688	  -5.873	  2	680973.7	121.0	N	-129	
2016-03-25	10:36:33	1	 40.401	  -4.532	 42.163	 -13.484	  4	680792.0	 58.8	A	-119	
2016-03-27	06:44:29	0	 40.374	  -4.330	 41.363	  -9.192	  4	680938.5	 60.6	K	-126	
2016-03-27	06:57:31	1	 40.322	  -4.184	 33.942	 -36.961	  6	680922.5	 59.8	R	-130	
2016-03-27	09:56:47	0	 40.176	  -4.079	 38.336	   5.703	  4	680924.0	 59.7	A	-125	
2016-03-27	10:50:01	0	 40.381	  -4.279	 43.172	 -18.795	  4	680932.1	 59.3	B	-131	
2016-03-27	12:58:34	A	 40.738	  -5.034	 48.570	  34.561	  3	680833.3	 60.0	P	-130	
2016-03-27	14:37:19	0	 40.628	  -4.716	 38.923	 -13.051	  7	680988.4	 60.1	P	-125	
2016-03-27	17:32:41	1	 40.398	  -4.544	 33.056	  33.087	  4	681012.3	 59.4	R	-130	
2016-03-27	17:44:06	0	 40.409	  -4.620	 39.452	  -9.213	  8	681015.6	 59.4	N	-125	
2016-03-29	14:17:25	0	 40.487	  -4.249	 40.858	  -2.480	  6	681066.6	 60.0	P	-125	
2016-03-29	17:13:35	0	 40.390	  -4.578	 42.211	   4.522	  5	680868.1	 60.2	K	-124	
2016-03-29	17:22:04	1	 40.400	  -4.573	 41.730	   1.730	  7	680880.7	 59.6	N	-122	
2016-03-29	18:08:25	A	 40.404	  -4.549	 36.474	  15.398	  3	680898.8	 59.5	R	-124	
2016-03-29	18:55:52	1	 40.388	  -4.537	 32.406	 -42.475	  6	680958.4	 60.4	K	-130	
2016-03-29	19:01:55	B	 40.553	  -4.555	 31.950	 -45.746	  2	680880.7	 60.0	N	-135	
2016-03-29	21:28:49	B	 40.228	  -5.283	 39.542	  -8.731	  2	680958.4	177.0	B	-129	
2016-03-29	22:17:54	2	 40.408	  -4.554	 34.692	 -32.130	  8	680825.7	 60.1	A	-126	
2016-03-31	04:56:42	1	 40.359	  -4.203	 45.653	  22.665	  4	680855.7	 60.0	R	-129	
2016-03-31	18:05:56	1	 40.397	  -4.554	 37.430	 -18.935	  5	680924.5	 61.0	K	-127	
2016-03-31	18:40:34	B	 40.640	  -4.246	 34.165	 -35.707	  2	680924.5	419.0	N	-133	
2016-03-31	18:45:03	Z	 40.400	  -4.545	 39.910	  -2.053	  6	680997.8	 59.5	R	-127	
2016-03-31	21:35:08	1	 40.401	  -4.542	 38.751	 -12.679	  5	680961.2	 60.6	A	-121	
2016-04-02	02:05:16	2	 40.334	  -4.163	 32.800	  32.809	  5	680815.3	 59.7	P	-130	
2016-04-02	05:10:23	1	 40.318	  -4.159	 31.673	  37.639	  5	680835.5	 60.5	N	-126	
2016-04-02	05:30:01	1	 40.341	  -4.148	 42.061	   4.764	  7	680855.0	 60.6	R	-121	
2016-04-02	05:51:39	1	 40.335	  -4.176	 36.611	  13.835	  9	680893.4	 59.8	K	-125	
2016-04-02	06:47:37	2	 40.338	  -4.160	 41.507	  -9.622	  6	680953.5	 60.1	N	-128	
2016-04-02	09:34:00	A	 40.249	  -4.204	 35.975	  17.204	  3	680973.5	120.7	A	-120	
2016-04-02	10:25:33	0	 40.428	  -4.234	 41.005	  -7.187	  4	680948.8	 59.4	B	-125	
2016-04-04	06:08:50	2	 40.401	  -4.543	 38.842	 -12.407	  8	681029.1	 60.6	R	-124	
2016-04-04	06:26:58	2	 40.402	  -4.540	 39.144	   1.579	  4	681028.2	 60.7	N	-125	
2016-04-04	06:43:35	1	 40.399	  -4.532	 41.356	  -9.281	  4	681027.8	 60.0	K	-124	
2016-04-04	10:31:21	B	 40.702	  -5.834	 41.299	  -8.889	  2	681029.1	118.0	A	-122	
2016-04-04	14:49:42	2	 40.402	  -4.538	 37.709	 -17.313	  5	680971.7	 60.6	P	-126	
2016-04-04	16:22:37	A	 40.408	  -4.539	 46.674	  28.407	  3	680956.2	 60.0	K	-129	
2016-04-04	17:54:22	1	 40.405	  -4.542	 38.714	 -12.480	  8	680997.9	 60.0	N	-124	
2016-04-06	17:14:25	Z	 40.400	  -4.563	 42.194	   4.391	  7	680819.7	 60.0	K	-124	
2016-04-06	18:55:54	Z	 40.396	  -4.531	 41.003	  -7.602	  3	680956.2	 61.0	R	-122	
2016-04-06	18:56:54	1	 40.399	  -4.539	 32.409	 -42.495	  4	680956.2	 60.3	K	-126	
2016-04-06	21:08:48	B	 40.352	  -4.743	 41.079	  -1.037	  6	650000.0	 59.4	A	-121	
2016-04-06	22:52:50	1	 40.421	  -4.514	 31.245	 -48.358	  5	680918.9	 59.4	A	-129	
2016-04-08	02:36:56	B	 40.335	  -4.161	 35.850	  17.615	  2	680899.4	119.0	P	-130	
2016-04-08	04:15:41	1	 40.304	  -4.125	 45.610	 -29.960	  4	680899.4	 59.3	P	-129	
