Tx Date	Tx Time	PTT Date	PTT Time	Satellite ID	Activity	Tx Count	Temperature (°C)	Battery Voltage (V)	GPS fix time	Satellite Count	Hours Since Reset	Days since GPS fix	Season	Shunt	Mortality GT	Seasonal GT
2016-03-19	06:09:54	2016-03-19	06:09:56	N	 31	 13	23.8	4.01	36	 7	63	 1	 1	0	0	0
2016-03-19	06:41:42	2016-03-19	06:41:44	K	 31	 17	23.8	3.99	36	 7	63	 1	 1	0	0	0
2016-03-19	10:57:46	2016-11-19	10:57:45	A	  1	  4	20.5	4.05	33	 7	63	 0	 1	1	0	0
2016-03-19	14:28:14	2016-03-19	14:28:14	P	 15	 16	21.1	3.99	37	 7	63	 0	 1	0	0	0
2016-03-19	14:36:08	2016-03-19	14:36:08	P	 15	 17	21.1	3.97	37	 7	63	 0	 1	0	0	0
2016-03-19	16:17:50	2016-03-19	16:17:50	K	 15	 21	25.2	3.99	28	 6	63	 0	 1	0	0	0
2016-03-19	17:38:16	2016-03-19	17:38:16	N	 25	 31	26.6	3.97	40	 5	63	 0	 1	0	0	0
2016-03-21	14:09:24	2016-03-21	30:09:24	P	  3	 11	25.9	4.05	30	 6	63	 0	 0	1	0	0
2016-03-21	17:09:53	2016-03-21	17:09:52	K	 15	 25	25.9	4.01	21	11	63	 0	 0	0	0	0
2016-03-21	18:54:36	2016-03-21	18:54:35	K	 29	  6	20.5	3.97	41	 7	63	 0	 0	0	0	0
2016-03-21	21:42:03	2016-03-21	21:42:03	A	 29	 14	26.6	3.95	33	 5	63	 0	 0	0	0	0
2016-03-23	02:17:30	2016-03-23	02:17:31	P	  5	  2	21.1	3.99	45	 4	63	 1	 0	0	0	0
2016-03-23	05:33:39	2016-03-23	05:33:40	P	  5	 18	25.9	3.95	45	 4	63	 1	 0	0	0	0
2016-03-23	18:08:19	2016-03-23	18:08:18	K	  7	 22	25.9	4.01	39	 8	63	 0	 0	0	0	0
2016-03-23	18:32:11	2016-03-23	18:32:09	N	  7	 25	25.9	3.99	39	 8	63	 0	 0	0	0	0
2016-03-23	20:56:18	2016-03-23	20:56:18	A	 11	 30	32.8	3.99	45	 5	63	 0	 0	0	0	0
2016-03-25	04:41:22	2016-03-25	04:41:24	R	 22	  1	39.9	3.97	43	 5	63	 1	 0	0	0	0
2016-03-25	05:53:11	2016-03-25	05:53:13	K	 27	 10	21.1	3.95	43	 5	63	 1	 0	0	0	0
2016-03-25	06:25:23	2016-03-25	06:25:25	R	 27	 14	20.5	3.95	43	 5	63	 1	 0	0	0	0
2016-03-25	10:34:07	2016-03-25	10:34:06	A	 27	  0	39.9	3.93	19	 7	63	 0	 0	0	0	0
2016-03-27	06:40:27	2016-03-27	06:40:30	K	 29	  8	20.5	3.99	40	 6	63	 1	 0	0	0	0
2016-03-27	06:48:32	2016-03-27	06:48:35	K	 29	  9	20.5	3.99	40	 6	63	 1	 0	0	0	0
2016-03-27	06:56:33	2016-03-27	06:56:35	R	 31	 10	25.9	3.99	40	 6	63	 1	 0	0	0	0
2016-03-27	09:04:07	2056-03-27	09:06:10	B	 31	 13	21.1	3.99	168	 6	63	 3	 3	0	0	0
2016-03-27	09:52:19	2081-03-27	09:52:22	A	 31	 17	21.1	4.29	40	 6	63	 1	 0	1	0	0
2016-03-27	10:00:16	2016-03-27	10:00:16	A	  1	 20	21.1	4.03	 2	 9	63	 0	 0	1	0	0
2016-03-27	10:48:03	2016-03-27	58:48:03	B	  5	 26	25.9	4.03	 2	 9	63	 0	 0	1	0	0
2016-03-27	14:34:50	2144-03-27	14:34:49	P	 23	  8	21.1	4.03	24	 9	31	 0	 0	0	0	0
2016-03-27	17:43:07	2016-03-27	17:43:07	N	 21	 23	14.2	4.01	33	 7	63	 0	 0	0	0	0
2016-03-29	14:13:55	2016-03-29	14:13:55	P	  0	  3	55.3	3.99	28	 7	63	 0	 0	0	0	0
2016-03-29	17:14:06	2016-03-29	25:14:06	K	  5	 17	25.2	4.00	39	 7	63	 0	 0	0	0	0
2016-03-29	17:22:05	2016-03-29	17:22:05	N	  5	 18	23.8	3.99	39	 7	63	 0	 0	0	0	0
2016-03-29	21:30:18	2016-03-29	21:30:18	B	  9	  4	22.5	3.95	30	 5	63	 0	 0	0	0	0
2016-03-29	22:18:25	2016-09-31	22:18:26	A	 10	 10	28.1	3.95	62	 5	62	 0	 4	0	0	0
2016-03-31	18:44:04	2016-03-31	18:44:04	N	 27	 18	15.4	3.99	40	 6	63	 0	 0	0	0	0
2016-03-31	21:31:36	2016-03-31	21:31:36	A	 27	 26	18.5	3.97	79	 6	63	 0	 0	0	0	0
2016-04-02	02:04:45	2016-04-02	02:04:46	P	 11	 14	29.6	3.99	43	 5	63	 1	 0	0	0	0
2016-04-02	05:29:31	2016-04-02	05:29:33	R	 17	 31	25.9	3.95	43	 5	63	 1	 0	0	0	0
2016-04-02	05:53:39	2016-04-02	05:53:41	K	 21	  2	23.8	3.95	43	 5	63	 1	 0	0	0	0
2016-04-02	09:37:01	2016-04-02	09:37:04	A	 13	 17	18.5	3.99	43	 4	63	 1	 0	0	0	0
2016-04-04	06:10:20	2016-04-04	06:10:22	R	 19	 28	12.9	4.01	47	 6	63	 1	 0	0	0	0
2016-04-04	06:26:29	2016-04-04	06:26:31	N	 19	 30	12.9	3.99	47	 6	63	 1	 0	0	0	0
2016-04-04	06:42:35	2016-04-04	06:42:37	K	 19	  0	12.9	3.99	47	 6	63	 1	 0	0	0	0
2016-04-04	14:46:11	2016-04-04	14:46:11	P	 25	  1	17.9	3.95	30	 4	63	 0	 0	0	0	0
2016-04-04	17:55:53	2016-04-04	17:55:53	N	 27	 16	15.4	3.91	37	 8	63	 0	 0	0	0	0
2016-04-06	17:12:25	2016-04-06	17:12:25	K	 15	  8	32.8	3.99	28	 9	63	 0	 0	0	0	0
2016-04-06	17:28:29	2016-04-06	17:28:29	N	 15	 10	30.4	3.99	28	 9	63	 0	 0	0	0	0
2016-04-06	21:13:18	2016-04-06	21:13:17	A	 22	 25	21.1	3.97	36	 7	63	 0	 0	0	0	0
2016-04-08	04:12:44	2016-04-12	04:12:46	P	 29	 23	25.9	3.97	34	 8	63	 1	 0	0	0	0
