Date	Time	Latitude(N)	Longitude(E)	Speed	Course	Altitude(m)
2016-03-16	09:00	 40.15500	  -4.19017	  0	234	 608
2016-03-16	11:00	 40.12483	  -4.20083	 34	326	 736
2016-03-16	13:00	 40.15500	  -4.19017	  1	  1	 620
2016-03-16	15:00	 40.12667	  -4.17683	 25	297	1586
2016-03-16	17:00	 40.15483	  -4.19017	  0	334	 624
2016-03-16	19:00	 40.15500	  -4.19033	  0	267	 624
2016-03-17	09:00	 40.15500	  -4.19017	  0	238	 624
2016-03-17	11:00	 40.14367	  -4.19150	 40	242	 704
2016-03-17	13:00	 40.15500	  -4.19017	  0	293	 626
2016-03-17	15:00	 40.15500	  -4.19017	  0	223	 613
2016-03-17	17:00	 40.15500	  -4.19017	  0	354	 630
2016-03-17	19:00	 40.15500	  -4.19033	  0	354	 626
2016-03-18	09:00	 40.15500	  -4.19033	  0	330	 640
2016-03-18	11:00	 40.15500	  -4.19017	  0	 77	 638
2016-03-18	13:00	 40.15500	  -4.19017	  0	300	 629
2016-03-18	15:00	 40.15500	  -4.19017	  0	208	 630
2016-03-18	17:00	 40.15500	  -4.19017	  0	207	 634
2016-03-18	19:00	 40.15483	  -4.19017	  0	343	 633
2016-03-19	09:00	 40.15500	  -4.19017	  0	295	 618
2016-03-19	11:00	 40.15500	  -4.19017	  0	331	 634
2016-03-19	13:00	 40.15500	  -4.19017	  0	275	 628
2016-03-19	15:00	 40.15500	  -4.19017	  0	194	 623
2016-03-19	17:00	 40.15500	  -4.19017	  1	 14	 621
2016-03-19	19:00	 40.15500	  -4.19033	  0	196	 620
2016-03-20	09:00	 40.15500	  -4.19017	  0	 81	 597
2016-03-20	11:00	 40.15533	  -4.19100	  0	304	 599
2016-03-20	13:00	 40.15500	  -4.19033	  0	335	 615
2016-03-20	15:00	 40.15500	  -4.19017	  0	 58	 622
2016-03-20	17:00	 40.15500	  -4.19017	  0	284	 622
2016-03-20	19:00	 40.15500	  -4.19017	  0	295	 622
2016-03-21	16:00	 40.15500	  -4.19017	  0	 75	 625
2016-03-21	18:00	 40.15483	  -4.19017	  0	158	 627
2016-03-21	20:00	 40.15500	  -4.19017	  0	238	 628
2016-03-22	10:00	 40.15500	  -4.19017	  0	138	 628
2016-03-22	12:00	 40.14200	  -4.19733	 81	 20	 883
2016-03-22	14:00	 40.15500	  -4.19017	  0	114	 621
2016-03-22	16:00	 40.15017	  -4.18850	 21	251	 770
2016-03-22	18:00	 40.15533	  -4.18867	  0	  0	 619
2016-03-22	20:00	 40.15500	  -4.19017	  0	 88	 616
2016-03-23	10:00	 40.15500	  -4.19017	  0	 71	 624
2016-03-23	12:00	 40.15500	  -4.19017	  2	281	 640
2016-03-23	14:00	 40.15450	  -4.19017	 73	168	 623
2016-03-23	16:00	 40.15500	  -4.19017	  0	 21	 619
2016-03-23	18:00	 40.15500	  -4.19017	  0	173	 619
2016-03-23	20:00	 40.15500	  -4.19017	  0	346	 618
2016-03-24	10:00	 40.15483	  -4.19033	  0	 44	 631
2016-03-24	12:00	 40.15500	  -4.19017	  0	185	 641
2016-03-24	14:00	 40.15500	  -4.19017	  0	129	 637
2016-03-24	16:00	 40.15500	  -4.19017	  0	 69	 624
2016-03-24	18:00	 40.15500	  -4.19033	  0	  7	 592
2016-03-24	20:00	 40.15500	  -4.19017	  0	335	 619
2016-03-25	10:00	 40.15500	  -4.19017	  0	219	 626
2016-03-25	12:00	 40.15483	  -4.19017	  0	 27	 626
2016-03-25	14:00	 40.15500	  -4.19017	  0	205	 626
2016-03-25	16:00	 40.15500	  -4.19017	  0	 95	 611
