Date	Time	Fix	Lat1(N)	Long1(E)	Lat2(N)	Long2(E)	MsgCount	Frequency	Average TI	Satellite	Max Str	Swapped
2016-03-19	04:41:18	3	 40.157	  -4.187	 48.066	 -43.069	  8	676160.7	 59.9	P	-133	
2016-03-19	21:36:06	B	 40.099	  -4.489	 38.420	 -12.728	  2	676160.7	181.0	B	-132	
2016-03-19	22:21:54	1	 40.159	  -4.191	 33.776	 -35.928	  7	676140.3	 60.4	A	-127	
2016-03-21	02:40:40	B	 40.153	  -4.224	 36.110	  15.495	  2	676140.3	 62.0	P	-131	
2016-03-21	04:20:39	3	 40.157	  -4.189	 45.707	 -32.226	  5	676124.1	 60.6	P	-131	
2016-03-21	05:54:19	A	 40.158	  -4.192	 36.579	  13.942	  3	676149.8	 60.0	K	-128	
2016-03-23	06:43:58	1	 40.155	  -4.207	 41.216	  -9.628	  6	676142.3	 59.6	K	-128	
2016-03-23	09:36:37	A	 40.212	  -4.167	 36.534	  13.681	  3	676186.0	 59.5	A	-122	
2016-03-23	10:30:44	A	 40.155	  -4.148	 41.447	 -10.695	  3	676023.0	 61.7	B	-130	
2016-03-24	06:17:38	B	 40.145	  -4.160	 38.897	   2.087	  2	676136.6	 58.0	K	-126	
2016-03-24	06:53:16	3	 40.154	  -4.192	 34.182	 -34.159	  5	676136.6	 60.5	R	-132	
2016-03-24	06:56:18	A	 40.143	  -4.167	 41.802	 -12.140	  3	676136.6	301.0	N	-129	
2016-03-24	17:28:00	A	 40.220	  -4.059	 32.638	  35.131	  3	676152.4	 60.2	R	-130	
2016-03-24	17:36:34	1	 40.146	  -4.241	 39.522	  -7.380	 10	676123.9	 60.5	K	-128	
2016-03-26	14:50:06	1	 40.154	  -4.185	 37.109	 -18.918	  7	676019.4	 55.2	P	-131	
2016-03-26	16:46:02	B	 40.138	  -4.175	 44.106	  16.142	  2	676111.8	120.0	K	-129	
2016-03-26	17:57:17	A	 40.156	  -4.199	 37.873	 -14.875	  3	676090.2	 59.6	N	-129	
2016-03-26	18:24:46	1	 40.176	  -4.197	 34.864	 -31.023	  5	676111.8	 60.6	K	-128	
2016-03-28	02:59:39	B	 40.200	  -4.232	 38.157	   5.777	  2	676111.8	180.0	P	-131	
2016-03-28	04:43:06	B	 40.215	  -4.297	 47.630	 -41.823	  2	676111.8	123.0	P	-136	
2016-03-28	04:48:08	B	 40.117	  -4.171	 45.738	  25.386	  2	676111.8	123.0	R	-128	
2016-03-28	18:42:13	1	 40.159	  -4.200	 39.319	   0.150	  5	676103.8	 59.3	R	-126	
2016-03-28	20:54:18	2	 40.157	  -4.181	 41.977	   5.041	  4	676082.8	120.8	A	-125	
2016-03-28	22:37:41	2	 40.159	  -4.185	 32.264	 -42.211	  7	676120.9	 59.9	A	-127	
2016-03-30	04:17:46	2	 40.147	  -4.173	 45.671	 -31.136	  7	676105.1	 60.0	P	-133	
2016-03-30	05:24:17	A	 40.155	  -4.187	 42.434	   7.772	  3	676110.6	 59.5	R	-133	
2016-03-30	05:30:47	1	 40.154	  -4.202	 34.258	  25.638	  4	676109.6	 59.7	K	-130	
2016-03-30	05:46:18	A	 40.156	  -4.189	 34.996	  20.897	  3	676105.6	 60.5	N	-130	
2016-03-30	10:33:56	0	 40.147	  -4.122	 41.775	 -12.407	  5	676027.2	 59.3	A	-124	
2016-04-01	06:03:18	A	 40.152	  -4.207	 39.062	  -9.696	  3	676143.5	 60.0	R	-129	
2016-04-01	06:20:51	2	 40.154	  -4.193	 38.941	   1.970	  5	676136.3	 60.6	K	-128	
2016-04-01	09:51:55	B	 40.264	  -4.121	 38.014	   7.203	  2	676136.3	 61.0	A	-123	
2016-04-01	10:47:03	A	 40.375	  -4.058	 42.920	 -17.330	  3	676170.8	 60.0	B	-131	
2016-04-01	13:43:17	0	 40.166	  -4.094	 43.868	  13.716	  5	676016.4	 61.0	P	-132	
2016-04-01	16:43:24	B	 40.135	  -4.276	 44.629	  18.097	  2	676016.4	119.0	N	-133	
2016-04-01	17:40:00	1	 40.158	  -4.167	 39.473	  -7.525	  6	676025.2	 60.3	K	-125	
2016-04-03	14:58:10	3	 40.158	  -4.182	 36.279	 -23.064	  4	676143.8	 60.3	P	-130	
2016-04-03	16:40:02	A	 40.146	  -4.257	 26.312	 -70.446	  3	676150.1	120.0	P	-135	
2016-04-03	18:04:54	3	 40.154	  -4.187	 37.162	 -18.241	  7	676120.9	 60.1	N	-128	
2016-04-03	18:28:54	2	 40.153	  -4.190	 34.655	 -31.225	  4	676116.6	 60.0	K	-131	
2016-04-03	22:12:07	1	 40.158	  -4.177	 34.700	 -30.988	 10	676120.0	 59.8	A	-123	
2016-04-05	04:47:28	1	 40.159	  -4.204	 48.909	 -46.990	  4	676138.4	 61.0	P	-136	
2016-04-05	05:36:43	2	 40.154	  -4.197	 41.404	   2.187	  7	676147.1	 60.4	R	-125	
2016-04-05	21:07:24	A	 40.159	  -4.199	 52.307	 -71.100	  3	676101.0	 59.3	R	-137	
2016-04-05	21:29:41	1	 40.160	  -4.180	 38.762	 -11.224	  8	676101.0	 59.7	A	-123	
2016-04-07	02:49:22	A	 40.158	  -4.192	 36.746	  12.235	  3	676138.4	 60.6	P	-130	
2016-04-07	04:32:03	A	 40.145	  -4.170	 46.303	 -35.691	  3	676121.3	 61.0	P	-137	
2016-04-07	05:54:09	B	 40.150	  -4.132	 35.541	  18.010	  2	676138.4	238.0	N	-130	
2016-04-07	06:15:08	A	 40.164	  -4.183	 37.962	 -15.147	  3	676129.0	122.0	R	-127	
2016-04-07	09:26:37	A	 40.156	  -4.181	 35.506	  18.583	  3	676033.8	 60.0	A	-124	
2016-04-07	10:22:08	B	 39.672	  -2.101	 40.776	  -7.618	  2	676033.8	301.0	B	-132	
