Tx Date	Tx Time	PTT Date	PTT Time	Satellite ID	Activity	Tx Count	Temperature (°C)	Battery Voltage (V)	GPS fix time	Satellite Count	Hours Since Reset	Days since GPS fix	Season	Shunt	Mortality GT	Seasonal GT
2016-03-19	04:38:20	2016-03-19	04:38:20	P	 23	 15	16.0	3.99	29	 7	63	 1	 1	0	0	0
2016-03-19	21:37:37	2016-03-19	21:37:36	B	  7	  7	21.1	3.99	42	 8	63	 0	 1	0	0	0
2016-03-19	22:25:56	2016-03-19	22:25:56	A	  7	 13	21.1	3.97	42	 8	63	 0	 1	0	0	0
2016-03-21	04:18:08	2016-03-21	04:18:10	P	 16	  2	20.5	3.97	34	 6	63	 1	 0	0	0	0
2016-03-21	06:50:48	2016-03-21	06:50:50	R	 21	 21	21.1	3.93	34	 6	63	 1	 0	0	0	0
2016-03-21	10:19:35	2016-03-21	10:19:33	A	 15	  2	32.8	3.93	43	 9	63	 0	 0	0	0	0
2016-03-23	06:44:28	2016-03-23	06:44:29	K	 20	 12	20.5	4.01	39	 7	63	 1	 0	0	0	0
2016-03-23	10:30:16	2016-03-23	10:30:14	B	  6	 26	40.9	4.03	17	 7	 0	 0	 0	1	0	0
2016-03-24	06:55:19	2153-09-25	12:99:76	N	 20	 12	43.9	3.37	217	 9	12	25	 4	1	1	1
2016-03-24	06:55:19	2016-03-24	06:55:19	R	 23	  4	19.2	3.99	26	 6	10	 1	 0	0	0	0
2016-03-24	17:35:34	2016-03-24	17:35:34	K	 31	 16	19.2	3.97	28	 8	16	 0	 0	0	0	0
2016-03-26	14:43:40	2016-03-26	14:43:37	P	  6	  1	32.8	4.01	15	10	38	 0	 0	0	0	0
2016-03-26	17:59:47	2016-03-26	17:59:47	N	 18	 17	26.6	3.99	37	10	40	 0	 0	0	0	0
2016-03-26	21:20:11	2016-03-26	21:20:10	R	  8	 29	24.5	3.95	169	 6	42	 0	 0	1	0	0
2016-03-26	21:36:09	2016-03-26	21:36:08	A	  8	 31	21.1	3.95	41	 6	42	 0	 0	0	0	0
2016-03-28	02:58:10	2016-03-28	02:58:08	P	  1	 25	25.9	3.97	36	 6	24	 1	 0	0	0	0
2016-03-28	22:35:13	2016-11-28	22:35:11	A	  3	 28	20.5	3.93	30	 7	63	 0	 0	0	0	1
2016-03-30	05:30:18	2016-03-30	05:30:17	K	 13	 25	21.1	3.93	36	 9	63	 1	 0	0	0	0
2016-03-30	05:46:21	2131-03-30	05:46:20	N	  9	 26	-19.6	3.93	181	 8	31	 1	 1	0	0	0
2016-04-01	06:04:18	2016-04-01	06:04:19	R	 17	 21	20.5	4.01	15	 4	63	 1	 0	0	0	0
2016-04-01	06:20:21	2016-04-01	06:20:22	K	 17	 23	21.1	3.99	15	 4	63	 1	 0	0	0	0
2016-04-01	17:40:29	2016-04-01	17:40:27	K	 15	  8	30.4	3.99	 2	10	63	 0	 0	0	0	0
2016-04-03	22:06:09	2016-04-03	22:06:08	A	 27	 26	21.1	3.95	30	 6	63	 0	 0	0	0	0
2016-04-03	22:14:08	2016-04-03	22:14:06	A	 27	 27	21.1	3.93	30	 6	63	 0	 0	0	0	0
2016-04-05	21:27:41	2016-04-05	21:27:40	A	  3	 11	25.2	3.99	42	 6	63	 0	 0	0	0	0
2016-04-07	05:27:16	2016-04-07	05:27:17	K	  9	 16	19.2	3.95	39	 7	31	 1	 0	0	0	0
2016-04-07	06:15:10	2016-04-07	06:15:10	R	 17	 22	19.2	3.93	39	 7	63	 1	 0	0	0	0
2016-04-07	08:47:53	2016-05-07	08:47:55	K	 22	 28	30.4	3.93	39	 7	63	 1	 0	0	1	0
2016-04-07	09:28:08	2016-04-07	09:28:10	A	  0	  3	30.4	3.93	39	 7	63	 1	 0	0	1	0
