Date	Time	Fix	Lat1(N)	Long1(E)	Lat2(N)	Long2(E)	MsgCount	Frequency	Average TI	Satellite	Max Str	Swapped
2016-03-19	06:40:11	0	 40.684	  -3.880	 40.684	  -3.880	  4	674067.5	 59.7	K	-124	
2016-03-19	09:15:37	A	 40.717	  -3.967	 40.717	  -3.967	  3	674133.8	329.0	A	-123	
2016-03-19	14:22:11	0	 40.716	  -3.983	 40.716	  -3.983	  5	674135.1	 60.0	P	-125	
2016-03-19	16:10:30	0	 40.725	  -3.826	 40.725	  -3.826	  5	674132.4	 61.0	P	-135	
2016-03-19	16:19:51	A	 40.753	  -3.882	 40.753	  -3.882	  3	674130.1	 59.7	K	-124	
2016-03-19	17:34:10	B	 40.751	  -3.858	 40.751	  -3.858	  2	674143.8	 62.0	N	-125	
2016-03-21	13:59:03	A	 40.797	  -3.069	 40.797	  -3.069	  3	674081.4	 62.3	P	-131	
2016-03-21	17:05:53	1	 40.711	  -3.994	 40.711	  -3.994	  8	674143.9	 60.9	N	-120	
2016-03-21	17:10:37	2	 40.718	  -3.965	 40.718	  -3.965	  6	674146.5	 60.9	K	-124	
2016-03-21	18:54:06	A	 40.711	  -3.981	 40.711	  -3.981	  3	674073.1	 61.0	K	-132	
2016-03-21	18:56:46	1	 40.708	  -3.987	 40.708	  -3.987	  4	674074.0	 59.8	N	-133	
2016-03-21	18:59:10	1	 40.713	  -3.991	 40.713	  -3.991	  4	674068.1	 60.0	R	-125	
2016-03-21	20:36:20	B	 40.705	  -4.004	 40.705	  -4.004	  1	674080.7		R	-139	
2016-03-21	20:56:17	B	 40.712	  -4.032	 40.712	  -4.032	  1	674083.5		B	-126	
2016-03-21	21:39:15	2	 40.710	  -3.968	 40.710	  -3.968	  4	674091.3	 59.2	A	-120	
2016-03-23	02:18:34	B	 40.707	  -4.082	 40.707	  -4.082	  2	674084.4	 59.0	P	-130	
2016-03-23	05:05:09	A	 40.705	  -4.014	 40.705	  -4.014	  3	674095.2	 60.5	K	-132	
2016-03-23	05:36:14	B	 40.707	  -4.032	 40.707	  -4.032	  1	674032.2		P	-138	
2016-03-23	05:44:30	0	 40.677	  -4.129	 40.677	  -4.129	  7	674070.6	 59.7	R	-124	
2016-03-23	18:02:44	B	 40.610	  -4.017	 40.610	  -4.017	  1	674136.9		R	-137	
