Date	Time	Latitude(N)	Longitude(E)	Speed	Course	Altitude(m)
2016-03-16	10:00	 40.71567	  -3.96400	  0	  0	 112
2016-03-16	12:00	 40.71533	  -3.96350	  0	 96	 107
2016-03-16	14:00	 40.72033	  -3.95967	 23	  7	 127
2016-03-16	16:00	 40.72067	  -3.96533	 13	294	 124
2016-03-16	18:00	 40.71500	  -3.96367	  0	  0	 111
2016-03-17	10:00	 40.71550	  -3.95733	  0	  0	 111
2016-03-17	12:00	 40.71483	  -3.96400	  8	347	 113
2016-03-17	14:00	 40.71533	  -3.96383	  0	  0	 112
2016-03-17	16:00	 40.71533	  -3.96383	  0	135	 114
2016-03-17	18:00	 40.71550	  -3.96317	  0	  0	 117
2016-03-18	10:00	 40.72317	  -3.96417	 35	143	 122
2016-03-18	12:00	 40.71417	  -3.96283	  0	151	 120
2016-03-18	14:00	 40.71800	  -3.95567	  5	221	 116
2016-03-18	16:00	 40.71600	  -3.96350	  0	104	 114
2016-03-18	18:00	 40.70967	  -3.96650	  0	  0	 115
2016-03-19	10:00	 40.71550	  -3.96300	  0	  0	 111
2016-03-19	12:00	 40.72033	  -3.95317	  0	  0	2D fix
2016-03-19	14:00	 40.71567	  -3.96300	  2	235	  98
2016-03-19	16:00	 40.71533	  -3.96333	  0	  0	 109
2016-03-19	18:00	 40.71617	  -3.96383	  0	332	 112
2016-03-20	10:00	 40.72317	  -3.95983	 15	276	 119
2016-03-20	12:00	 40.71467	  -3.96333	  0	129	 112
2016-03-20	14:00	 40.71750	  -3.95633	 14	192	 118
2016-03-20	16:00	 40.71550	  -3.96300	  0	  0	 114
2016-03-20	18:00	 40.71083	  -3.96967	  0	156	 114
2016-03-21	10:00	 40.71550	  -3.96367	  0	214	 108
2016-03-21	12:00	 40.71467	  -3.96300	  0	164	 114
2016-03-21	14:00	 40.71683	  -3.96050	 23	 34	 124
2016-03-21	16:00	 40.71833	  -3.96167	  0	199	 110
2016-03-21	18:00	 40.71683	  -3.96150	  4	359	 114
2016-03-22	10:00	 40.71500	  -3.96350	  0	  0	 114
2016-03-22	12:00	 40.71767	  -3.95950	  0	344	 114
2016-03-22	14:00	 40.72400	  -3.96900	 13	170	 130
2016-03-22	16:00	 40.72250	  -3.96283	 29	126	 132
2016-03-22	18:00	 40.71817	  -3.96550	 27	326	 109
2016-03-23	10:00	 40.71567	  -3.95583	 20	282	 113
2016-03-23	12:00	 40.71517	  -3.96333	  1	129	 115
2016-03-23	14:00	 40.71717	  -3.96433	  3	 58	 118
2016-03-23	16:00	 40.71800	  -3.96350	 22	257	 115
2016-03-23	18:00	 40.71550	  -3.96333	  0	330	 114
2016-03-24	10:00	 40.71533	  -3.96283	  0	265	 105
2016-03-24	12:00	 40.71867	  -3.95867	  0	136	 114
2016-03-24	14:00	 40.71633	  -3.96183	 18	223	 119
2016-03-24	16:00	 40.72650	  -3.96367	 22	282	 141
2016-03-24	18:00	 40.71483	  -3.96233	  0	317	 129
2016-03-25	10:00	 40.71517	  -3.96350	  0	  0	 120
2016-03-25	12:00	 40.71983	  -3.95950	  0	  0	 114
2016-03-25	14:00	 40.71550	  -3.96317	  0	 24	 113
2016-03-25	16:00	 40.71550	  -3.96350	  0	278	 113
2016-03-25	18:00	 40.71533	  -3.96317	  0	  0	 113
2016-03-26	10:00	 40.71550	  -3.96317	  0	  0	 113
2016-03-26	12:00	 40.71517	  -3.96350	  0	  0	 114
2016-03-26	14:00	 40.72067	  -3.95700	  0	  0	 114
2016-03-26	16:00	 40.72050	  -3.95833	  9	259	 111
2016-03-26	18:00	 40.71567	  -3.96317	  0	  0	 111
2016-03-27	09:00	 40.71583	  -3.96350	  5	280	 124
2016-03-27	10:00	 40.71183	  -3.96667	 12	343	 114
2016-03-27	12:00	 40.71550	  -3.95717	  0	176	 113
2016-03-27	14:00	 40.72183	  -3.95650	 17	352	 116
2016-03-27	16:00	 40.71517	  -3.96317	  0	 21	 113
2016-03-27	18:00	 40.71550	  -3.96317	  0	  0	 114
2016-03-28	10:00	 40.71533	  -3.96333	  0	  0	 113
2016-03-28	12:00	 40.72450	  -3.96550	  0	153	 106
2016-03-28	14:00	 40.72283	  -3.96233	 16	221	 120
2016-03-28	16:00	 40.71900	  -3.95950	  0	279	 109
2016-03-28	18:00	 40.71567	  -3.96217	  0	  0	 113
2016-03-29	10:00	 40.71483	  -3.96283	  0	 16	 116
2016-03-29	12:00	 40.71717	  -3.95917	  0	347	 110
2016-03-29	14:00	 40.71550	  -3.95717	  0	  0	 112
2016-03-29	16:00	 40.71383	  -3.96200	  0	  0	 142
2016-03-29	18:00	 40.71817	  -3.96400	  1	148	 138
2016-03-30	10:00	 40.71883	  -3.95950	  0	  0	 129
2016-03-30	12:00	 40.71867	  -3.96133	 19	 30	 124
2016-03-30	14:00	 40.71417	  -3.96283	  0	173	 114
2016-03-30	16:00	 40.71650	  -3.96050	 29	302	 149
2016-03-30	18:00	 40.71583	  -3.96333	  0	306	 117
2016-03-31	10:00	 40.71550	  -3.96317	  0	  0	 117
2016-03-31	12:00	 40.71617	  -3.95750	  6	 81	 111
2016-03-31	14:00	 40.71417	  -3.96133	  0	 44	 111
2016-03-31	16:00	 40.71900	  -3.95983	 20	 95	 116
2016-03-31	18:00	 40.71550	  -3.96233	  0	198	 121
2016-04-01	09:00	 40.71500	  -3.96367	  0	  0	 119
2016-04-01	12:00	 40.70433	  -3.97750	  7	334	 114
2016-04-01	15:00	 40.71733	  -3.95917	  0	348	 114
2016-04-01	18:00	 40.71533	  -3.96300	  0	 52	 117
2016-04-01	21:00	 40.71450	  -3.96233	  0	  0	 117
2016-04-02	09:00	 40.72533	  -3.96450	 18	323	 124
2016-04-02	12:00	 40.71900	  -3.96033	 10	201	 129
2016-04-02	15:00	 40.71517	  -3.96183	  0	236	 109
2016-04-02	18:00	 40.71550	  -3.96467	  0	123	 116
2016-04-02	21:00	 40.70950	  -3.96650	  0	225	 114
2016-04-03	09:00	 40.72467	  -3.96217	  0	  0	 119
2016-04-03	12:00	 40.71550	  -3.96317	  0	  0	 114
2016-04-03	15:00	 40.71517	  -3.96350	  0	224	 113
2016-04-03	18:00	 40.71450	  -3.96333	  0	  0	 123
2016-04-03	21:00	 40.70900	  -3.96600	  0	  0	 121
2016-04-04	09:00	 40.71433	  -3.96233	  0	  0	 110
2016-04-04	12:00	 40.71533	  -3.96333	  0	  0	 111
2016-04-04	15:00	 40.71617	  -3.95883	  0	  0	 114
2016-04-04	18:00	 40.71567	  -3.96317	  0	  0	 114
2016-04-04	21:00	 40.71567	  -3.96233	  3	304	 113
2016-04-05	09:00	 40.71567	  -3.96333	  0	  0	 114
2016-04-05	12:00	 40.71483	  -3.96350	  0	  0	 113
2016-04-05	15:00	 40.71483	  -3.96317	  0	180	 111
2016-04-05	18:00	 40.71567	  -3.96233	  0	  0	 114
2016-04-05	21:00	 40.70950	  -3.96633	  0	  0	 113
2016-04-06	09:00	 40.71550	  -3.96317	  0	  0	 110
2016-04-06	12:00	 40.71533	  -3.96350	  0	257	 117
2016-04-06	15:00	 40.71800	  -3.95900	  0	  0	 108
2016-04-06	18:00	 40.71550	  -3.96317	  0	  0	 114
2016-04-06	21:00	 40.70950	  -3.96633	  0	  0	 112
2016-04-07	09:00	 40.71683	  -3.95800	  0	  0	 114
2016-04-07	12:00	 40.72133	  -3.96217	 16	 41	 120
2016-04-07	15:00	 40.71483	  -3.96300	  0	290	 116
2016-04-07	18:00	 40.71533	  -3.96317	  1	342	 115
2016-04-07	21:00	 40.70950	  -3.96633	  0	  0	 112
