Tx Date	Tx Time	PTT Date	PTT Time	Satellite ID	Activity	Tx Count	Temperature (°C)	Battery Voltage (V)	GPS fix time	Satellite Count	Hours Since Reset	Days since GPS fix	Season	Shunt	Mortality GT	Seasonal GT
2016-03-19	14:23:18	2016-03-19	14:23:18	P	 14	 11	17.3	4.01	28	10	63	 0	 1	0	0	0
2016-03-19	18:05:04	2016-03-19	18:05:04	K	 16	 30	19.2	3.99	28	 6	63	 0	 1	0	0	0
2016-03-19	21:33:17	2016-03-19	21:33:16	B	 22	 11	16.6	3.95	30	 5	63	 0	 1	0	0	0
2016-03-21	19:02:19	2016-03-21	19:02:19	R	 24	 27	19.2	3.99	28	 8	63	 0	 0	0	0	0
2016-03-21	21:34:15	2016-03-21	21:34:14	A	 25	  1	23.1	3.97	109	 5	63	 0	 0	0	0	0
2016-03-21	21:42:10	2016-03-21	29:42:09	A	 25	  2	23.1	3.98	45	 5	61	16	 0	0	0	0
2016-03-23	05:25:49	2016-03-23	05:25:50	N	  5	  5	21.8	3.95	30	 6	63	 1	 0	0	0	0
2016-03-23	06:45:47	2016-03-23	06:45:49	K	  7	 15	19.8	3.93	30	 6	63	 1	 0	0	0	0
2016-03-23	09:42:16	2016-03-23	09:42:18	A	 14	 24	32.0	4.01	30	 6	63	 1	 0	0	0	0
2016-03-25	06:21:15	2016-03-25	06:21:16	R	 26	  5	19.8	3.99	96	 5	63	 1	 0	0	0	0
2016-03-25	09:01:34	2016-03-25	09:01:36	A	 30	 12	26.6	4.01	96	 5	63	 1	 0	0	0	0
2016-03-25	10:37:45	2016-03-25	10:37:44	A	 15	 24	21.1	3.99	31	 6	63	 0	 0	0	0	0
2016-03-25	15:04:05	2016-03-25	15:04:05	P	  6	 11	48.2	4.03	40	 9	63	 0	 0	0	0	0
2016-03-27	14:35:23	2016-03-27	14:35:23	P	 25	  4	17.9	4.18	19	 8	63	 0	 0	0	0	0
2016-03-27	14:43:24	2016-03-27	14:43:24	P	 25	  5	18.5	4.09	19	 8	63	 0	 0	0	0	0
2016-03-27	21:14:51	2016-03-27	21:14:51	A	 10	  0	26.6	3.95	42	 5	63	 0	 0	0	0	0
2016-03-29	05:54:00	2016-03-29	05:54:03	K	  0	 10	25.9	3.95	22	 4	63	 1	 0	0	0	0
2016-03-29	18:53:57	2016-03-29	18:53:57	K	  1	 17	30.4	3.99	37	 6	63	 0	 0	0	0	0
2016-03-29	21:26:04	2016-03-29	21:26:03	B	  3	 23	25.9	3.97	39	 6	63	 0	 0	0	0	0
2016-03-29	22:13:49	2016-03-29	22:13:48	A	  9	 29	25.9	3.97	39	 6	63	 0	 0	0	0	0
2016-03-31	05:34:20	2016-03-31	05:34:22	N	 15	 29	20.5	3.95	33	 6	63	 1	 0	0	0	0
2016-03-31	06:30:43	2016-03-31	06:30:46	R	 15	  4	20.5	3.93	33	 6	63	 1	 0	0	0	0
2016-03-31	07:10:58	2085-10-10	42:90:74	N	 15	  9	21.1	3.93	42	11	42	26	 5	0	1	1
2016-03-31	10:15:28	2016-03-31	10:15:27	A	 19	 19	37.2	4.03	15	 6	63	 0	 0	0	0	0
2016-04-02	10:23:59	2016-04-02	10:23:49	B	 28	 13	46.0	4.03	38	 8	63	 0	 0	0	0	0
2016-04-02	17:11:37	2016-04-02	17:11:37	K	 28	  9	25.9	4.03	36	 7	63	 0	 0	0	0	0
2016-04-02	17:43:41	2016-04-02	17:43:41	R	  3	 13	25.9	3.99	36	 7	63	 0	 0	0	0	0
2016-04-04	14:46:00	2016-04-04	14:46:00	P	  3	 28	21.1	4.03	22	 6	63	 0	 0	0	0	0
2016-04-04	21:00:41	2144-04-04	21:00:40	B	 11	 21	16.0	3.99	82	 4	63	 4	 0	0	0	0
2016-04-06	18:54:39	2016-04-06	18:54:39	R	 27	  8	21.1	3.99	34	 5	63	 0	 0	0	0	0
2016-04-06	21:10:10	2016-04-06	21:10:10	A	 28	 12	20.5	3.97	114	 6	63	 0	 0	0	0	0
2016-04-06	22:46:40	2016-04-06	22:46:40	A	  4	 24	23.1	3.95	114	 6	63	 0	 0	0	0	0
2016-04-08	05:42:35	2016-04-08	05:42:36	R	 15	 21	19.8	3.95	39	 6	63	 1	 0	0	0	0
2016-04-08	10:46:49	2016-04-08	10:46:49	A	 21	 14	41.9	4.01	19	 8	63	 0	 0	0	0	0
