Date	Time	Fix	Lat1(N)	Long1(E)	Lat2(N)	Long2(E)	MsgCount	Frequency	Average TI	Satellite	Max Str	Swapped
2016-03-19	17:37:25	1	 39.303	  -6.660	 39.982	  -3.461	  4	676341.1	 60.2	N	-133	
2016-03-19	18:04:03	2	 39.308	  -6.646	 37.319	 -16.318	  4	676348.7	 59.8	K	-127	
2016-03-19	21:33:15	Z	 39.424	  -6.064	 38.574	 -10.387	  3	676377.8	 59.5	B	-125	
2016-03-21	18:59:47	Z	 39.299	  -6.612	 39.499	  -7.628	  5	676351.1	 60.6	R	-126	
2016-03-21	21:38:12	1	 39.309	  -6.657	 37.990	 -13.350	  6	676312.5	 59.4	A	-124	
2016-03-23	02:18:40	A	 39.320	  -6.626	 32.314	  27.737	  3	676322.4	 59.0	P	-130	
2016-03-23	05:25:19	B	 39.286	  -6.681	 31.292	  31.366	  2	676327.8	 60.0	N	-125	
2016-03-23	05:44:42	2	 39.304	  -6.662	 40.790	   0.965	  4	676327.8	 59.5	R	-125	
2016-03-23	06:46:47	B	 39.205	  -5.384	 39.796	  -8.767	  2	676327.8	122.0	K	-127	
2016-03-23	07:05:26	B	 39.274	  -6.607	 41.277	 -16.272	  2	676327.8	 59.0	N	-130	
2016-03-23	09:40:16	1	 39.290	  -6.637	 34.954	  15.363	  4	676228.2	 60.0	A	-123	
2016-03-25	06:22:45	2	 39.308	  -6.642	 37.307	 -16.644	  5	676351.1	 60.3	R	-124	
2016-03-25	06:42:51	B	 39.297	  -6.656	 38.910	  -4.872	  2	676351.1	421.0	N	-126	
2016-03-25	09:01:03	B	 39.246	  -6.098	 31.104	  34.855	  2	676351.1	 61.0	A	-128	
2016-03-25	10:40:15	B	 39.623	  -8.570	 39.912	 -10.073	  2	676351.1	302.0	A	-122	
2016-03-25	14:59:34	1	 39.321	  -6.629	 36.257	 -21.412	  6	676346.3	 60.2	P	-129	
2016-03-25	17:10:21	B	 39.114	  -7.468	 42.104	   7.758	  2	676346.3	183.0	K	-129	
2016-03-27	14:38:24	0	 39.282	  -6.739	 38.496	 -10.506	  7	676361.0	 60.1	P	-127	
2016-03-27	17:43:26	B	 39.313	  -5.817	 38.953	  -7.539	  3	650000.0	158.7	N	-128	
2016-03-27	18:06:34	A	 39.314	  -6.724	 37.423	 -16.235	  3	676326.6	 61.0	K	-129	
2016-03-27	19:09:38	B	 39.303	  -6.640	 40.560	 -12.842	  2	676297.7	 62.0	R	-125	
2016-03-27	21:15:50	A	 39.310	  -6.643	 40.257	  -1.803	  3	676297.7	 59.5	A	-124	
2016-03-27	22:55:06	1	 39.303	  -6.668	 30.776	 -49.441	  5	676333.5	 60.4	A	-127	
2016-03-29	02:48:52	2	 39.302	  -6.672	 35.252	  12.635	  4	676282.3	 59.3	P	-126	
2016-03-29	05:53:28	0	 39.330	  -6.620	 39.751	  -4.432	  7	676268.3	 60.0	R	-125	
2016-03-29	18:10:21	3	 39.309	  -6.654	 34.767	  16.645	  4	676254.7	 59.8	R	-129	
2016-03-29	18:50:56	B	 39.312	  -6.664	 32.467	 -40.369	  2	676254.7	361.0	K	-133	
2016-03-29	19:02:57	B	 39.321	  -6.631	 31.555	 -43.492	  2	676254.7	240.0	N	-130	
2016-03-29	22:13:19	1	 39.299	  -6.640	 34.753	 -29.698	  7	676265.9	 60.1	A	-121	
2016-03-31	02:27:56	B	 39.205	  -6.889	 32.877	  23.650	  2	676265.9	121.0	P	-132	
2016-03-31	05:34:21	A	 39.309	  -6.687	 32.097	  28.109	  3	676341.4	120.5	N	-130	
2016-03-31	06:33:14	1	 39.306	  -6.640	 36.226	 -22.106	  6	676341.7	 60.3	R	-126	
2016-03-31	06:45:19	0	 39.295	  -6.629	 39.594	  -8.134	  4	676355.5	 60.4	K	-121	
2016-03-31	07:10:28	B	 39.272	  -6.591	 41.997	 -19.016	  2	676221.7	 58.0	N	-129	
2016-03-31	10:13:59	1	 39.305	  -6.641	 38.167	  -0.942	  4	676221.7	 59.6	A	-122	
2016-04-02	06:51:48	B	 38.950	  -4.574	 40.084	 -10.170	  2	676221.7	 60.0	N	-129	
2016-04-02	07:07:13	1	 39.240	  -6.672	 32.849	 -39.496	  6	676266.4	 59.7	R	-130	1
2016-04-02	10:24:28	0	 39.325	  -6.724	 39.147	  -5.819	  4	676247.0	 60.3	B	-130	
2016-04-02	15:09:06	3	 39.309	  -6.650	 35.426	 -25.640	  5	676208.6	 59.8	P	-129	
2016-04-02	16:30:56	B	 39.332	  -6.564	 45.890	  26.080	  2	676208.6	235.0	N	-131	
2016-04-02	17:10:35	0	 39.415	  -6.379	 41.884	   7.018	  5	676225.3	 59.3	K	-124	
2016-04-02	17:44:10	2	 39.301	  -6.630	 32.305	  28.795	  5	676302.1	 59.6	R	-130	
2016-04-04	14:47:00	3	 39.309	  -6.649	 37.630	 -14.830	  5	676346.6	 60.0	P	-133	
2016-04-04	17:50:54	B	 39.280	  -6.936	 38.702	  -9.698	  2	676346.6	118.0	N	-130	
2016-04-04	18:01:14	A	 39.305	  -6.650	 37.344	 -16.553	  3	676393.3	 55.0	K	-131	
2016-04-04	18:18:56	B	 39.263	  -6.518	 35.732	  11.180	  2	676346.6	 60.0	R	-131	
2016-04-04	21:00:39	2	 39.308	  -6.650	 41.521	   4.781	  5	676398.7	 61.0	B	-131	
2016-04-04	21:49:26	3	 39.307	  -6.648	 36.953	 -18.410	  8	676400.3	 60.0	A	-126	
2016-04-06	02:58:13	A	 39.308	  -6.653	 36.211	   8.411	  3	676342.1	 60.0	P	-131	
2016-04-06	05:02:20	A	 39.304	  -6.657	 44.322	  20.083	  3	676316.7	 59.7	R	-129	
2016-04-06	05:54:11	B	 39.262	  -6.632	 34.817	  15.381	  2	676342.1	 58.0	K	-130	
2016-04-06	18:51:06	A	 39.314	  -6.632	 32.625	 -40.293	  3	676322.2	 60.7	K	-132	
2016-04-06	18:57:09	0	 39.335	  -6.790	 39.191	  -6.057	  4	676327.5	 60.2	R	-124	
2016-04-06	21:10:08	2	 39.307	  -6.652	 40.880	   1.167	  5	676335.0	 60.5	A	-121	
