Date	Time	Latitude(N)	Longitude(E)	Speed	Course	Altitude(m)
2016-03-15	17:00	 42.74283	  -6.16850	  0	  1	1551
2016-03-15	19:00	 42.74033	  -6.17000	  0	 99	1532
2016-03-16	09:00	 42.74200	  -6.18767	  0	315	1292
2016-03-16	11:00	 42.75517	  -6.21683	  0	297	1299
2016-03-16	13:00	 42.75600	  -6.19950	 32	 21	1230
2016-03-16	15:00	 42.70167	  -6.12900	 38	103	1886
2016-03-17	11:00	 42.73183	  -6.20017	 48	245	1216
2016-03-17	13:00	 42.76200	  -6.22533	  0	338	1520
2016-03-17	15:00	 42.75817	  -6.22967	  0	227	1562
2016-03-17	17:00	 42.77083	  -6.20717	  0	175	1570
2016-03-17	19:00	 42.77550	  -6.22217	  0	203	1558
2016-03-18	09:00	 42.76617	  -6.21183	  0	  0	2D fix
2016-03-18	11:00	 42.77583	  -6.22517	 14	175	1625
2016-03-18	13:00	 42.74733	  -6.20467	  0	355	1412
2016-03-18	15:00	 42.75683	  -6.20233	  0	100	1393
2016-03-18	17:00	 42.74500	  -6.19267	  0	155	1364
2016-03-18	19:00	  0.00000	   0.00000	  0	3.99	no fix
2016-03-19	09:00	 42.75050	  -6.18567	  0	246	1100
2016-03-19	11:00	 42.77217	  -6.23250	  0	  0	2D fix
2016-03-19	13:00	 42.76783	  -6.21600	  0	359	1359
2016-03-19	15:00	 42.74817	  -6.21200	 38	 58	1395
2016-03-19	17:00	 42.77683	  -6.21833	  0	 29	1627
2016-03-19	19:00	  0.00000	   0.00000	  0	3.95	no fix
2016-03-20	09:00	 42.76683	  -6.21267	  0	182	1588
2016-03-20	11:00	 42.76667	  -6.21600	  0	154	1295
2016-03-20	13:00	 42.75967	  -6.21217	  0	292	1165
2016-03-20	15:00	 42.75733	  -6.21117	  0	263	1163
2016-03-20	17:00	 42.75867	  -6.21250	  0	191	1160
2016-03-20	19:00	  0.00000	   0.00000	  0	3.95	no fix
2016-03-21	10:00	 42.75083	  -6.17750	  0	  0	2D fix
2016-03-21	12:00	 42.79450	  -6.15633	 21	 19	1522
2016-03-21	14:00	 42.70267	  -6.14300	 52	256	1829
2016-03-21	16:00	 42.75133	  -6.22717	  0	328	1456
2016-03-21	18:00	 42.74217	  -6.17250	  0	 56	1500
2016-03-21	20:00	  0.00000	   0.00000	  0	3.97	no fix
2016-03-22	10:00	 42.75433	  -6.23167	  0	 31	1523
2016-03-22	12:00	 42.76317	  -6.18067	  0	337	1744
2016-03-22	14:00	 42.78717	  -6.20483	  0	 11	1708
2016-03-22	16:00	 42.78967	  -6.23400	  0	290	1983
2016-03-22	18:00	 42.77067	  -6.20900	  0	268	1500
2016-03-22	20:00	  0.00000	   0.00000	  0	3.99	no fix
2016-03-23	10:00	 42.78450	  -6.19333	 17	 64	1785
2016-03-23	12:00	 42.77317	  -6.22017	  0	306	1427
2016-03-23	14:00	 42.74483	  -6.20117	 20	310	1717
2016-03-23	16:00	 42.77183	  -6.19567	 13	 84	1639
2016-03-23	18:00	 42.78817	  -6.20350	  0	  5	1687
2016-03-23	20:00	  0.00000	   0.00000	  0	3.95	no fix
2016-03-24	10:00	 42.75233	  -6.22517	  0	 83	1466
2016-03-24	12:00	 42.72367	  -6.13250	 60	156	1663
2016-03-24	14:00	 42.61883	  -5.96617	 25	226	1470
2016-03-24	16:00	 42.75100	  -6.17967	 28	257	1352
2016-03-24	18:00	 42.74867	  -6.21733	  0	161	1677
2016-03-24	20:00	  0.00000	   0.00000	  0	3.99	no fix
2016-03-25	10:00	 42.74900	  -6.18350	  0	138	1637
2016-03-25	12:00	 42.75117	  -6.21967	  0	 40	1292
2016-03-25	14:00	 42.79633	  -6.17400	  0	 51	1440
2016-03-25	16:00	 42.79633	  -6.17400	  0	214	1444
2016-03-25	18:00	 42.79617	  -6.17400	  0	166	1445
2016-03-25	20:00	 42.79633	  -6.17383	  0	 68	1433
2016-03-26	10:00	 42.79633	  -6.17400	  0	165	1445
2016-03-26	12:00	 42.79617	  -6.17383	  0	311	1440
2016-03-26	14:00	 42.79633	  -6.17400	  0	253	1437
2016-03-26	16:00	 42.79633	  -6.17400	  0	279	1447
2016-03-26	18:00	 42.79617	  -6.17383	  0	120	1444
2016-03-26	20:00	 42.79633	  -6.17400	  0	 68	1448
2016-03-27	10:00	 42.79617	  -6.17400	  0	 29	1441
2016-03-27	12:00	 42.79633	  -6.17400	  0	335	1440
2016-03-27	14:00	 42.79633	  -6.17400	  0	244	1440
2016-03-27	16:00	 42.79617	  -6.17400	  0	238	1439
2016-03-27	18:00	 42.79700	  -6.17350	  0	332	1444
2016-03-27	20:00	 42.79583	  -6.17383	  0	358	1428
2016-03-28	16:00	 42.74817	  -6.20317	 25	311	1408
2016-03-28	18:00	 42.75283	  -6.18950	  0	113	1305
2016-03-28	20:00	 42.75400	  -6.18967	  0	  0	2D fix
2016-03-29	10:00	 42.75300	  -6.19050	  0	 10	1236
2016-03-29	12:00	 42.75283	  -6.18983	  0	  0	2D fix
