Tx Date	Tx Time	PTT Date	PTT Time	Satellite ID	Activity	Tx Count	Temperature (°C)	Battery Voltage (V)	GPS fix time	Satellite Count	Hours Since Reset	Days since GPS fix	Season	Shunt	Mortality GT	Seasonal GT
2016-03-19	04:43:51	2016-03-19	04:43:52	P	  0	 11	30.4	3.97	126	 7	63	 1	 1	0	0	0
2016-03-19	10:59:38	2016-03-19	10:59:37	A	  6	 13	 8.6	3.97	43	 5	63	 0	 1	0	0	0
2016-03-21	06:46:41	2016-03-21	06:46:44	R	 16	 19	13.5	3.95	126	 5	63	 1	 0	0	0	0
2016-03-21	10:16:52	2016-03-21	10:16:51	A	  8	  0	17.9	3.99	126	 4	63	 0	 0	0	0	0
2016-03-21	14:10:43	2016-03-28	03:14:39	P	 21	 15	 9.2	4.01	31	 9	61	27	 4	1	1	1
2016-03-21	17:11:28	2016-03-21	17:11:27	K	 18	 29	31.2	4.03	30	 8	63	 0	 0	0	0	0
2016-03-23	18:00:54	2016-03-23	18:00:53	K	 20	  0	20.5	3.97	23	 6	63	 0	 0	0	0	0
2016-03-25	04:37:18	2144-03-25	04:37:19	R	 27	 12	32.0	3.97	62	 7	63	 7	 0	0	0	1
2016-03-25	05:56:37	2016-03-09	05:56:39	K	  6	 22	27.4	3.95	126	 5	63	 1	 0	0	0	0
2016-03-25	18:54:57	2016-03-25	18:54:56	K	 16	 29	17.3	3.99	42	 7	63	 0	 0	0	0	1
2016-03-25	21:10:06	2016-03-25	21:10:05	B	 16	  1	14.8	3.97	42	 4	63	 0	 0	0	0	0
2016-03-25	21:57:47	2016-03-25	21:57:46	A	 16	  7	14.2	3.97	42	 4	63	 0	 0	0	0	0
2016-03-27	04:52:59	2016-03-27	04:52:59	P	  4	  4	26.6	3.95	42	 5	63	 1	 0	0	0	0
2016-03-27	07:00:58	2016-03-27	07:00:59	R	  8	 20	16.6	3.91	42	 5	63	 1	 0	0	0	0
2016-03-27	10:46:38	2016-03-27	10:46:37	B	 12	  3	30.4	3.93	39	 7	63	 0	 0	0	0	0
2016-03-29	10:08:20	2016-03-29	10:08:19	B	 21	 23	16.6	3.97	45	 5	63	 0	 0	0	0	0
2016-03-29	14:18:46	2016-11-29	14:30:45	P	 13	  8	13.5	3.95	40	 5	63	 0	 0	0	0	0
2016-03-29	17:11:39	2016-03-29	17:11:38	K	 26	 21	17.9	3.93	48	 5	63	 0	 0	0	0	0
2016-03-29	17:19:41	2016-03-25	17:19:41	N	 26	 22	18.5	3.93	48	 5	63	 0	 0	0	0	0
2016-03-31	21:36:51	2016-03-31	21:36:50	A	 10	  6	25.9	3.97	126	 3	63	 0	 0	0	0	0
2016-04-04	06:08:30	2016-04-04	06:08:32	R	 14	  5	21.1	3.95	126	 6	63	 1	 0	0	0	0
2016-04-04	09:36:44	2016-04-04	09:36:47	B	 18	 18	16.0	3.95	126	 6	63	 1	 0	0	0	0
2016-04-04	10:25:21	2016-04-04	10:25:20	A	 18	 24	20.5	3.93	48	 6	63	 0	 0	0	0	0
2016-04-06	14:21:47	2016-04-06	14:21:45	P	  2	  0	25.9	4.03	35	11	63	 0	 0	0	0	0
2016-04-06	14:29:50	2016-04-06	14:61:49	P	  2	  1	39.0	4.01	35	11	63	 0	 0	1	0	0
2016-04-08	13:58:30	2016-04-08	13:58:30	P	 12	 26	26.6	3.99	 1	10	63	 0	 0	0	0	0
2016-04-08	17:06:58	2016-04-08	17:06:58	N	 26	  9	26.6	3.99	34	 7	63	 0	 0	0	0	0
