Date	Time	Fix	Lat1(N)	Long1(E)	Lat2(N)	Long2(E)	MsgCount	Frequency	Average TI	Satellite	Max Str	Swapped
2016-03-19	04:41:21	2	 42.730	  -6.195	 49.361	 -39.612	  7	679289.4	 59.7	P	-129	
2016-03-19	10:57:08	0	 42.746	  -6.367	 45.849	 -22.035	  4	679267.0	 59.8	A	-123	
2016-03-21	14:04:31	0	 42.692	  -6.104	 44.283	   1.544	  6	679332.9	 61.9	P	-129	1
2016-03-21	17:08:57	0	 42.688	  -6.349	 44.968	   5.054	  7	679361.7	 60.0	N	-124	
2016-03-21	17:09:58	0	 42.707	  -6.195	 44.780	   4.629	  6	679351.3	 60.3	K	-127	
2016-03-23	13:43:24	0	 42.761	  -6.247	 46.573	  12.766	  4	679267.1	 59.8	P	-130	1
2016-03-23	16:23:06	A	 42.638	  -6.271	 49.071	  28.132	  3	679378.4	120.3	K	-130	
2016-03-23	18:02:10	2	 42.790	  -6.202	 40.266	 -19.106	  6	679326.9	 53.2	K	-125	
2016-03-23	18:30:17	B	 42.752	  -6.080	 37.476	 -31.579	  2	679324.7	181.0	N	-128	
2016-03-23	21:00:01	3	 42.773	  -6.205	 44.674	   3.620	  4	679240.1	 60.3	A	-121	
2016-03-25	01:56:08	A	 42.746	  -6.157	 33.464	  40.203	  3	679236.0	 59.7	P	-135	
2016-03-25	04:39:47	0	 42.740	  -6.175	 49.029	  28.346	  4	679286.0	 59.8	R	-125	
2016-03-25	05:02:39	0	 42.698	  -6.240	 32.443	  44.037	  4	679259.0	 59.6	N	-130	
2016-03-25	05:54:37	2	 42.751	  -6.181	 38.210	  17.212	  4	679251.9	 59.8	K	-127	
2016-03-25	18:09:06	B	 42.881	  -6.024	 39.818	 -20.810	  2	679240.1	118.0	N	-129	
2016-03-25	18:34:22	1	 42.802	  -6.184	 40.443	   6.212	  4	679315.8	 60.3	R	-127	
2016-03-25	18:52:26	1	 42.804	  -6.155	 35.594	 -42.759	  6	679325.9	 60.4	K	-130	
2016-03-25	21:11:05	A	 42.800	  -6.150	 43.747	  -1.323	  3	679343.3	 59.5	B	-125	
2016-03-25	21:58:47	2	 42.794	  -6.176	 39.232	 -24.225	  6	679337.5	 59.7	A	-120	
2016-03-27	04:53:57	0	 43.065	  -6.449	 50.175	 -43.793	  4	679414.1	 60.8	P	-134	
2016-03-27	06:58:56	1	 42.795	  -6.149	 36.914	 -36.685	  5	679340.7	 60.5	R	-128	
2016-03-27	10:46:08	B	 42.758	  -5.899	 44.654	 -15.687	  2	679340.7	 58.0	B	-128	
2016-03-29	10:06:50	B	 42.718	  -6.214	 40.654	   4.297	  2	679334.8	179.0	B	-131	
2016-03-29	10:52:00	0	 42.716	  -6.177	 45.206	 -18.760	  5	679334.8	 60.2	A	-122	
2016-03-29	14:15:47	0	 42.719	  -6.310	 43.507	  -2.402	  6	679350.5	 59.5	P	-130	
2016-03-29	17:12:09	0	 42.739	  -6.248	 44.812	   4.569	  4	679372.5	 59.7	K	-125	
2016-03-29	17:19:41	0	 42.771	  -6.274	 44.371	   1.722	  4	679381.9	 60.5	N	-128	1
2016-03-31	13:52:43	B	 42.707	  -6.204	 45.638	   8.456	  2	679351.5	177.0	P	-128	
2016-03-31	16:57:35	0	 42.770	  -6.147	 46.457	  12.353	  7	679315.3	 60.0	N	-129	
2016-03-31	18:01:58	B	 42.733	  -6.335	 40.227	 -19.254	  2	679315.3	 61.0	K	-129	
2016-03-31	18:43:32	A	 42.782	  -6.206	 41.431	   0.694	  3	679391.8	 60.5	R	-123	
2016-03-31	21:36:21	B	 42.674	  -6.645	 41.510	 -12.448	  2	679315.3	 59.0	A	-121	
2016-04-02	05:32:16	A	 42.758	  -6.193	 44.938	   5.073	  3	679264.9	 60.5	R	-126	
2016-04-02	05:53:43	0	 42.737	  -6.259	 38.075	  17.318	  5	679326.2	 60.6	K	-125	
2016-04-02	18:15:49	2	 42.751	  -6.237	 39.140	 -23.666	  6	679328.3	 59.7	N	-130	
2016-04-02	21:46:14	A	 42.751	  -6.237	 40.520	 -17.444	  3	679279.5	 59.3	B	-128	
2016-04-04	06:07:00	0	 42.698	  -6.222	 41.521	 -12.394	  5	679296.4	 60.0	R	-127	
2016-04-04	06:44:55	A	 42.636	  -6.013	 42.790	  -6.813	  3	679378.1	 60.0	K	-133	
2016-04-06	06:05:02	1	 42.738	  -6.185	 38.341	  15.538	  4	679328.4	 60.3	N	-126	
2016-04-06	06:42:09	0	 42.683	  -6.609	 38.350	 -29.443	  4	679244.4	 60.8	R	-131	
2016-04-06	09:49:22	2	 42.665	  -6.229	 39.119	  12.128	  4	679303.9	 59.7	A	-126	
2016-04-06	17:09:26	0	 42.698	  -5.404	 44.269	   3.375	  4	679279.9	 59.0	K	-129	1
2016-04-08	14:00:10	A	 42.700	  -6.293	 44.788	   4.330	  3	679294.0	 67.3	P	-130	
2016-04-08	17:06:28	0	 42.677	  -6.185	 45.854	   9.416	  5	679302.9	 60.0	N	-130	
