Date	Time	Latitude(N)	Longitude(E)	Speed	Course	Altitude(m)
2016-03-17	16:00	 39.78817	  -5.83700	  0	347	 453
2016-03-17	18:00	 39.78833	  -5.83700	  0	106	 440
2016-03-17	20:00	 39.78833	  -5.83700	  0	317	 443
2016-03-18	10:00	 39.78867	  -5.83783	  0	328	 462
2016-03-18	12:00	 39.78833	  -5.83700	  0	229	 447
2016-03-18	14:00	 39.78850	  -5.83783	  0	184	 444
2016-03-19	10:00	 39.78817	  -5.83700	  0	345	 452
2016-03-19	12:00	 39.78917	  -5.83783	 48	230	 658
2016-03-19	14:00	 39.78833	  -5.83700	  0	  7	 452
2016-03-19	16:00	 39.78833	  -5.83700	  0	299	 451
2016-03-19	18:00	 39.78833	  -5.83700	  0	 77	 451
2016-03-19	20:00	 39.78817	  -5.83700	  0	218	 461
2016-03-20	10:00	 39.78300	  -5.85533	 29	166	 661
2016-03-20	12:00	 39.77250	  -5.85317	 45	350	 625
2016-03-20	14:00	 39.78783	  -5.83733	  0	325	 436
2016-03-20	16:00	 39.78817	  -5.83700	  0	233	 463
2016-03-20	18:00	 39.78817	  -5.83700	  0	137	 451
2016-03-20	20:00	 39.78817	  -5.83700	  0	114	 464
2016-03-21	10:00	 39.80133	  -5.86050	 10	 61	 418
2016-03-21	12:00	 39.78700	  -5.83850	 33	 34	 473
2016-03-21	14:00	 39.78833	  -5.83700	  0	163	 448
2016-03-21	16:00	 39.78833	  -5.83700	  0	175	 456
2016-03-21	18:00	 39.78783	  -5.83733	  0	341	 437
2016-03-21	20:00	 39.78833	  -5.83700	  0	141	 440
2016-03-22	10:00	 39.82367	  -5.81383	 25	 84	 408
2016-03-22	12:00	 39.83500	  -5.82133	 33	105	 526
2016-03-22	14:00	 39.86650	  -5.66100	 43	230	 583
2016-03-22	16:00	 39.78833	  -5.83700	  0	110	 455
2016-03-22	18:00	 39.78867	  -5.83783	  0	 77	 453
2016-03-22	20:00	 39.78833	  -5.83700	  0	281	 447
2016-03-23	10:00	 39.83833	  -5.85133	 38	205	 662
2016-03-23	12:00	 39.92817	  -5.64250	 33	335	 491
2016-03-23	14:00	 39.87033	  -5.73667	 61	 37	 666
2016-03-23	16:00	 39.78833	  -5.83700	  0	167	 450
2016-03-23	18:00	 39.78833	  -5.83700	  0	340	 461
2016-03-23	20:00	 39.78817	  -5.83867	  0	330	 425
2016-03-24	10:00	 39.78817	  -5.83700	  0	182	 456
2016-03-24	16:00	 39.79067	  -5.83717	 41	 41	 632
2016-03-24	18:00	 39.78833	  -5.83700	  0	338	 451
2016-03-24	20:00	 39.78800	  -5.83867	  0	191	 419
2016-03-25	10:00	 39.79250	  -5.88350	 34	296	 760
2016-03-25	12:00	 39.78967	  -5.83633	  0	195	 486
2016-03-25	14:00	 39.81083	  -5.78433	 18	211	 470
2016-03-25	16:00	 39.78617	  -5.82983	 47	 83	 825
2016-03-25	18:00	 39.78833	  -5.83700	  0	352	 456
2016-03-25	20:00	 39.78850	  -5.83650	  0	320	 460
2016-03-26	10:00	 39.79250	  -5.84367	 35	308	 504
2016-03-26	12:00	 39.78983	  -5.83633	  0	140	 504
2016-03-26	14:00	 39.78817	  -5.83700	  0	263	 449
2016-03-26	16:00	 39.78817	  -5.83700	  0	281	 457
2016-03-26	18:00	 39.78833	  -5.83700	  0	 85	 456
2016-03-26	20:00	 39.78817	  -5.83683	  0	356	 454
2016-03-27	10:00	 39.84033	  -5.75333	 61	  3	 787
2016-03-27	12:00	 39.87517	  -5.78117	 37	289	 770
2016-03-27	14:00	 39.79283	  -5.84217	 60	190	 540
2016-03-27	16:00	 39.78817	  -5.83700	  0	 21	 457
2016-03-27	18:00	 39.78883	  -5.83683	  0	322	 393
2016-03-27	20:00	 39.78800	  -5.83867	  0	 66	 418
2016-03-28	10:00	 39.78833	  -5.83700	  0	317	 444
2016-03-28	12:00	 39.79000	  -5.83683	  0	234	 511
2016-03-28	14:00	 39.73033	  -5.86333	 28	193	 601
2016-03-28	16:00	 39.78850	  -5.83650	  0	238	 485
2016-03-28	18:00	 39.78850	  -5.83650	  0	125	 458
2016-03-28	20:00	 39.78850	  -5.83650	  0	 10	 467
2016-03-29	10:00	 39.91033	  -5.69350	 64	 33	 497
2016-03-29	12:00	 39.94650	  -5.61000	 44	238	 673
2016-03-29	14:00	 39.78833	  -5.83700	  0	223	 453
2016-03-29	16:00	 39.78833	  -5.83650	  0	343	 489
2016-03-29	18:00	 39.78767	  -5.83650	  0	342	 485
2016-03-29	20:00	 39.78817	  -5.83867	  0	 52	 420
2016-03-30	10:00	 39.78800	  -5.83983	  0	188	 408
2016-03-30	12:00	 39.96000	  -5.61300	 40	 26	 967
2016-03-30	14:00	 39.84300	  -5.84367	 31	196	1058
2016-03-30	16:00	 39.78833	  -5.83650	  0	229	 506
2016-03-30	18:00	 39.79333	  -5.84350	  0	345	 505
2016-03-30	20:00	 39.78800	  -5.83883	  0	 97	 495
2016-03-31	10:00	 39.76550	  -5.85050	 28	270	 652
2016-03-31	12:00	 39.79000	  -5.83633	  0	261	 509
2016-03-31	14:00	 39.79350	  -5.83917	 52	 94	 714
2016-03-31	16:00	 39.83500	  -5.89350	 36	288	 703
2016-03-31	18:00	 39.78583	  -5.83517	  0	154	 748
2016-03-31	20:00	 39.78817	  -5.83867	  0	231	 422
2016-04-01	10:00	 39.85183	  -5.77117	 28	141	 391
2016-04-01	12:00	 39.85017	  -5.76767	 19	251	 615
2016-04-01	14:00	 39.78900	  -5.83700	  0	351	 462
2016-04-01	16:00	 39.79917	  -5.84617	 58	114	 982
2016-04-01	18:00	 39.78967	  -5.83700	  0	 43	 498
2016-04-01	20:00	 39.78800	  -5.83867	  0	141	 415
2016-04-02	10:00	 39.87317	  -5.72317	 32	  7	 503
2016-04-02	12:00	 39.95400	  -5.60800	  0	113	 276
2016-04-02	14:00	 39.85300	  -5.77817	 30	185	1008
2016-04-02	16:00	 39.78933	  -5.83500	 38	 48	 718
2016-04-02	18:00	 39.78800	  -5.83700	  0	194	 445
2016-04-02	20:00	 39.78833	  -5.83650	  0	286	 457
2016-04-03	10:00	 39.78850	  -5.83783	  0	299	 456
2016-04-03	12:00	 39.78817	  -5.83700	  0	335	 451
2016-04-03	14:00	 39.82717	  -5.85550	 11	188	 522
2016-04-03	16:00	 39.78833	  -5.83700	  0	  1	 467
2016-04-03	18:00	 39.78833	  -5.83700	  0	178	 450
2016-04-03	20:00	 39.78850	  -5.83650	  0	119	 468
2016-04-04	10:00	 39.78767	  -5.83800	  0	227	 418
2016-04-04	12:00	 39.78767	  -5.83783	  0	175	 417
2016-04-04	14:00	 39.78767	  -5.83800	  0	181	 402
