Date	Time	Fix	Lat1(N)	Long1(E)	Lat2(N)	Long2(E)	MsgCount	Frequency	Average TI	Satellite	Max Str	Swapped
2016-03-20	14:16:40	Z	 39.784	  -5.841	 40.613	  -1.807	  7	679610.2	 59.7	P	-128	
2016-03-20	17:23:15	B	 39.795	  -5.818	 41.204	   0.994	  2	679566.1	 61.0	N	-129	
2016-03-20	17:39:41	Z	 39.780	  -5.908	 39.754	  -6.034	  5	650000.0	 59.9	K	-125	
2016-03-20	19:06:16	A	 39.796	  -5.805	 31.207	 -46.892	  3	679566.1	 60.0	N	-133	
2016-03-20	21:14:29	B	 39.795	  -6.157	 40.783	  -1.075	  2	679566.1	238.0	B	-132	
2016-03-20	22:01:36	3	 39.790	  -5.835	 36.083	 -24.369	  6	679610.3	 59.8	A	-121	
2016-03-22	18:26:52	2	 39.788	  -5.826	 34.901	 -29.497	  7	679599.9	 59.9	K	-126	
2016-03-22	18:29:23	3	 39.789	  -5.839	 37.333	   6.789	  4	679601.8	 59.8	R	-126	
2016-03-22	18:40:50	3	 39.788	  -5.837	 33.537	 -35.566	  7	679602.4	 60.0	N	-129	
2016-03-22	21:17:44	Z	 39.788	  -5.842	 40.185	  -3.814	  6	679603.0	 59.7	A	-122	
2016-03-24	02:08:15	A	 39.792	  -5.837	 31.938	  32.747	  3	679591.7	 60.3	P	-131	
2016-03-24	05:11:56	2	 39.788	  -5.839	 43.713	  14.913	  5	679595.6	 61.0	R	-127	
2016-03-24	06:18:16	B	 39.788	  -5.833	 37.957	   3.308	  2	679589.7	 61.0	K	-127	
2016-03-24	06:51:32	A	 39.784	  -5.817	 40.912	 -11.153	  3	679595.6	 59.0	N	-123	
2016-03-24	06:54:02	2	 39.788	  -5.833	 34.429	 -32.396	  6	679595.0	 59.6	R	-127	
2016-03-24	09:16:35	A	 39.777	  -5.843	 33.613	  25.059	  3	679589.7	 60.0	A	-125	
2016-03-24	10:57:52	A	 39.749	  -5.844	 43.043	 -22.720	  3	679545.9	 60.5	A	-125	
2016-03-26	06:28:06	B	 39.784	  -5.827	 38.476	   0.272	  2	679590.1	120.0	N	-129	
2016-03-26	07:08:06	2	 39.790	  -5.839	 42.665	 -20.263	  4	679590.1	119.0	K	-128	
2016-03-26	10:16:28	A	 39.789	  -5.845	 39.177	  -2.862	  4	679603.9	 60.3	A	-118	
2016-03-26	14:51:10	2	 39.786	  -5.835	 37.484	 -16.766	  4	679575.8	 59.3	P	-126	
2016-03-26	16:30:08	1	 39.791	  -5.833	 27.476	 -64.562	  5	679584.9	 60.2	P	-133	
2016-03-26	16:46:14	B	 39.788	  -5.841	 44.424	  17.898	  2	679584.9	 60.0	K	-128	
2016-03-26	17:53:45	1	 39.787	  -5.836	 38.269	 -13.214	  4	679588.9	 60.8	N	-127	
2016-03-28	14:27:23	Z	 39.598	  -6.445	 39.560	  -6.604	  8	650000.0	 60.1	P	-126	
2016-03-28	17:31:20	0	 39.810	  -5.637	 40.442	  -2.553	  4	679602.6	 59.8	N	-124	
2016-03-28	17:36:18	0	 39.784	  -5.886	 39.867	  -5.464	 10	679592.8	 60.1	K	-123	
2016-03-28	18:39:44	3	 39.787	  -5.837	 38.370	   1.349	  5	679593.8	 61.0	R	-125	
2016-03-28	19:12:47	B	 39.770	  -5.838	 30.586	 -49.697	  2	679593.8	120.0	N	-133	
2016-03-28	20:54:29	A	 39.790	  -5.834	 42.268	   6.956	  3	679589.7	 61.3	A	-126	
2016-03-28	21:49:52	1	 39.791	  -5.832	 37.414	 -17.450	  4	679590.8	 60.5	B	-131	
2016-03-28	22:35:25	2	 39.788	  -5.835	 32.747	 -40.746	  8	679590.6	 60.0	A	-122	
2016-03-30	04:19:11	3	 39.787	  -5.838	 44.618	 -29.996	  5	679585.1	 60.2	P	-126	
2016-03-30	05:22:35	3	 39.787	  -5.839	 42.688	   9.425	  5	679586.3	 60.7	R	-124	
2016-03-30	18:27:53	0	 39.786	  -5.869	 34.982	 -29.509	  7	679577.0	 59.9	K	-131	
2016-03-30	18:49:17	1	 39.790	  -5.843	 32.822	 -38.723	  4	679572.1	 59.3	N	-132	
2016-03-30	21:03:34	B	 39.815	  -5.745	 41.256	   1.475	  2	679572.1	367.0	B	-133	
2016-03-30	21:52:57	2	 39.790	  -5.837	 36.730	 -21.089	  8	679576.2	 60.7	A	-126	
2016-04-01	02:17:58	A	 39.795	  -5.826	 32.818	  28.423	  3	679545.4	119.7	P	-131	
2016-04-01	05:23:45	B	 39.792	  -5.736	 31.646	  33.391	  2	679590.3	 60.0	N	-133	
2016-04-01	06:01:21	0	 39.779	  -5.863	 39.330	  -8.167	  7	679581.0	 60.0	R	-127	
2016-04-01	06:18:22	A	 39.792	  -5.843	 37.970	   3.287	  3	679586.7	 60.0	K	-125	
2016-04-01	07:00:34	3	 39.789	  -5.845	 41.534	 -14.204	  4	679590.3	 60.8	N	-125	
2016-04-01	09:52:39	A	 39.866	  -5.829	 37.029	   8.663	  3	679588.1	207.5	A	-122	
2016-04-03	06:34:26	A	 39.797	  -5.977	 38.829	  -2.201	  3	679581.2	 59.5	N	-129	
2016-04-03	06:38:54	3	 39.788	  -5.831	 35.824	 -25.813	  8	679581.2	 59.6	R	-126	
2016-04-03	07:07:19	A	 39.791	  -5.854	 42.681	 -20.245	  3	679581.2	 60.5	K	-125	
