Date	Time	Fix	Lat1(N)	Long1(E)	Lat2(N)	Long2(E)	MsgCount	Frequency	Average TI	Satellite	Max Str	Swapped
2016-03-20	14:16:28	1	 39.644	  -7.054	 40.969	  -0.583	  4	673853.3	 60.0	P	-123	
2016-03-20	17:25:19	3	 39.644	  -7.052	 41.565	   2.114	  4	673884.3	 59.2	N	-124	
2016-03-20	17:38:12	1	 39.644	  -7.051	 40.155	  -4.517	  7	673882.7	 59.6	K	-126	
2016-03-20	21:14:33	A	 39.646	  -7.053	 41.080	   0.039	  3	673860.4	 59.7	B	-126	
2016-03-20	22:02:20	3	 39.644	  -7.054	 36.398	 -22.997	  4	673860.9	 60.3	A	-123	
2016-03-22	18:28:49	B	 39.627	  -7.060	 36.724	   7.730	  2	673860.9	 60.0	R	-127	
2016-03-22	21:20:55	A	 39.644	  -7.051	 40.397	  -3.305	  3	673867.7	 60.5	A	-119	
2016-03-24	06:17:22	3	 39.643	  -7.053	 37.307	   4.327	  5	673803.2	 60.0	K	-126	
2016-03-24	06:51:33	A	 39.642	  -7.061	 40.345	 -10.370	  3	673813.7	 60.0	N	-127	
2016-03-24	10:08:51	B	 39.706	  -7.164	 37.987	   1.481	  2	673803.2	121.0	B	-126	
2016-03-24	10:55:34	0	 39.620	  -6.994	 42.622	 -21.902	  4	673776.6	 60.7	A	-122	
2016-03-26	06:27:29	B	 39.642	  -7.110	 37.692	   1.470	  2	673898.1	 60.0	N	-128	
2016-03-26	07:07:24	3	 39.644	  -7.054	 42.125	 -19.349	  6	673898.1	 60.0	K	-124	
2016-03-26	10:15:17	A	 39.643	  -7.061	 38.621	  -2.028	  3	673850.8	 60.0	A	-119	
2016-03-26	14:49:54	1	 39.650	  -7.028	 37.818	 -15.826	  6	673797.5	 59.5	P	-128	
2016-03-26	17:55:50	3	 39.643	  -7.051	 38.567	 -12.156	  5	673870.1	 60.0	N	-126	
2016-03-28	14:26:41	0	 39.628	  -7.124	 40.063	  -5.001	  4	673778.1	 60.0	P	-126	
2016-03-28	17:32:56	B	 39.640	  -6.998	 40.858	  -1.120	  2	673870.2	121.0	N	-124	
2016-03-28	18:39:30	A	 39.643	  -7.055	 37.804	   2.378	  3	673870.2	 60.0	R	-126	
2016-03-28	20:55:45	A	 39.643	  -7.054	 42.615	   8.073	  3	673881.8	 60.0	A	-120	
2016-03-30	05:26:12	A	 39.640	  -7.054	 43.023	  10.494	  3	673858.6	 60.0	R	-127	
2016-03-30	19:16:13	3	 39.643	  -7.052	 41.244	 -15.183	  5	673873.8	 60.4	R	-123	
2016-03-30	21:07:31	B	 39.644	  -7.052	 41.658	   3.166	  2	673873.8	122.0	B	-130	
2016-03-30	21:56:13	3	 39.643	  -7.055	 37.027	 -19.708	  4	673873.0	 60.2	A	-124	
2016-04-01	06:17:13	A	 39.643	  -7.056	 37.355	   4.079	  3	673807.4	 60.7	K	-124	
2016-04-01	07:00:15	B	 39.620	  -6.956	 40.926	 -13.289	  2	673755.8	181.0	N	-125	
2016-04-01	09:51:04	A	 39.640	  -7.065	 36.319	   9.521	  3	673755.8	 61.0	A	-124	
2016-04-03	06:37:42	3	 39.644	  -7.058	 38.604	  -2.147	  4	673885.7	 60.3	N	-126	
2016-04-03	06:38:43	A	 39.639	  -7.050	 36.199	 -24.558	  3	673889.5	 60.0	R	-131	
2016-04-03	07:08:13	3	 39.643	  -7.053	 42.156	 -19.507	  4	673889.5	 59.0	K	-127	
2016-04-03	10:01:20	A	 39.632	  -7.042	 37.299	   4.413	  3	673764.9	 57.5	B	-126	
2016-04-03	10:49:45	A	 39.631	  -7.050	 41.856	 -18.381	  3	673841.2	100.3	A	-121	
2016-04-03	14:59:39	A	 39.640	  -7.044	 36.949	 -20.133	  3	673820.7	 59.0	P	-127	
2016-04-05	14:35:53	A	 39.658	  -6.989	 39.188	  -9.297	  3	673796.7	 59.0	P	-126	
2016-04-05	17:41:44	1	 39.641	  -7.062	 40.255	  -4.181	  4	673870.8	 59.3	N	-125	
2016-04-05	17:42:15	B	 38.707	  -9.227	 40.213	  -3.344	  5	673870.7	 59.3	K	-123	
2016-04-05	21:31:33	Z	 39.640	  -7.068	 39.384	  -8.336	  4	673868.9	 59.8	A	-117	
2016-04-07	02:47:54	B	 39.599	  -7.070	 35.196	  14.252	  2	673820.7	120.0	P	-130	
2016-04-07	04:26:31	B	 39.658	  -7.161	 44.953	 -33.018	  2	673820.7	 60.0	P	-132	
2016-04-07	05:51:54	B	 39.615	  -7.063	 33.959	  19.903	  2	673820.7	 58.0	N	-130	
2016-04-07	20:50:36	A	 39.643	  -7.054	 43.351	  11.432	  3	673876.7	 60.0	A	-118	
2016-04-07	21:40:53	B	 39.675	  -7.149	 38.495	 -13.085	  2	673820.7	 58.0	B	-129	
