Tx Date	Tx Time	PTT Date	PTT Time	Satellite ID	Activity	Tx Count	Temperature (°C)	Battery Voltage (V)	GPS fix time	Satellite Count	Hours Since Reset	Days since GPS fix	Season	Shunt	Mortality GT	Seasonal GT
2016-03-20	14:15:30	2016-03-20	14:15:30	P	 31	 30	20.5	4.01	37	 5	63	 0	 1	0	1	0
2016-03-20	17:27:48	2016-03-20	17:27:48	N	 31	 15	15.4	3.97	48	 7	63	 0	 1	0	1	0
2016-03-20	17:35:44	2016-03-20	17:35:44	K	 31	 16	16.0	3.95	48	 7	63	 0	 1	0	1	0
2016-03-20	21:16:03	2016-03-28	21:16:03	B	 31	  1	10.5	3.89	31	 5	63	 0	 1	0	1	0
2016-03-20	22:03:51	2016-03-20	22:03:52	A	 31	  7	 6.1	3.89	31	 5	63	 0	 1	0	1	0
2016-03-24	06:19:53	2016-03-24	06:19:55	K	 31	  6	 5.4	3.89	34	 5	63	 1	 0	0	1	0
2016-03-24	10:57:06	2016-03-24	10:57:06	A	 31	 30	47.1	4.03	22	 5	63	 0	 0	1	1	0
2016-03-26	06:27:59	2016-03-26	06:28:00	N	 31	  2	10.5	3.95	39	 6	63	 1	 0	0	1	0
2016-03-26	07:07:54	2016-03-26	07:07:55	K	 31	  7	16.0	3.93	39	 6	63	 1	 0	0	1	0
2016-03-26	10:16:47	2016-03-26	10:16:46	A	 31	 20	20.5	3.93	46	 5	63	 0	 0	0	1	0
2016-03-26	14:51:55	2016-03-26	14:51:54	P	 31	  6	26.6	3.97	45	 6	63	 0	 0	0	1	0
2016-03-26	17:54:21	2016-03-26	17:54:20	N	 31	 22	15.4	3.91	27	 7	63	 0	 0	0	1	0
2016-03-28	17:39:00	2016-03-28	17:38:59	K	 31	 17	20.5	3.97	39	 5	63	 0	 0	0	1	0
2016-03-28	20:55:15	2016-03-28	20:55:14	A	 31	 31	15.4	3.91	33	 5	63	 0	 0	0	1	0
2016-03-30	21:56:42	2016-03-30	21:56:42	A	 31	 31	11.1	3.93	42	 5	63	 0	 0	0	1	0
2016-04-01	07:01:46	2016-12-01	07:33:35	N	 31	 12	11.1	3.90	41	 7	47	 1	 0	1	1	1
2016-04-03	06:35:42	2016-04-03	06:35:42	N	 31	  4	15.4	3.95	42	 6	63	 1	 0	0	1	0
2016-04-03	07:07:42	2016-04-03	07:07:43	K	 31	  8	11.1	3.95	42	 6	63	 1	 0	0	1	0
2016-04-03	10:47:15	2016-04-03	10:111:14	A	 31	 25	20.5	4.01	19	 6	63	 0	 0	0	1	0
2016-04-05	17:42:46	2016-04-05	17:42:45	N	 31	 19	15.4	3.93	44	 6	63	 0	 0	0	1	0
2016-04-05	21:30:32	2016-04-05	21:30:31	A	 31	  5	11.1	3.87	38	 4	63	 0	 0	0	1	0
2016-04-07	04:26:01	2016-04-07	04:26:02	P	 31	  2	 5.4	3.91	33	 6	63	 1	 0	0	1	0
